username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,,
DrMisialek,4/8/2017 16:31,5,5,,@ @ @ @ @ @,,8.51E+17,https://twitter.com/DrMisialek/status/850808445473259521,,,,
MedscapeOnc,4/8/2017 16:11,6,8,,@,# #,8.51E+17,https://twitter.com/MedscapeOnc/status/850803197350469633,,,,
deLeeuwRenee,4/8/2017 16:09,0,3,,@,# #,8.51E+17,https://twitter.com/deLeeuwRenee/status/850802707640307717,,,,
Pierre018,4/7/2017 19:31,0,0,,@,,8.50E+17,https://twitter.com/Pierre018/status/850491221625765888,,,,
OSUCCC_James,4/7/2017 19:30,7,15, @ JoeBiden says at # AACR17 http://ow.ly/19sY30aFdA7,,@,# #,8.50E+17,https://twitter.com/OSUCCC_James/status/850490936824139776,,,
ranjitbindra,4/7/2017 19:26,5,4,,,#,8.50E+17,https://twitter.com/ranjitbindra/status/850490011346665472,,,,
ProstateCell,4/7/2017 19:16,0,0,,,# #,8.50E+17,https://twitter.com/ProstateCell/status/850487553455083521,,,,
phyz999,4/7/2017 18:42,0,0,,@ @,# # #,8.50E+17,https://twitter.com/phyz999/status/850478858776133632,,,,
fredhutch,4/7/2017 18:32,0,0,,,# #,8.50E+17,https://twitter.com/fredhutch/status/850476278755061760,,,,
AML_Hub,4/7/2017 18:27,1,0,,,# #,8.50E+17,https://twitter.com/AML_Hub/status/850475026130370561,,,,
aspenbio,4/7/2017 18:05,0,0,,,# #,8.50E+17,https://twitter.com/aspenbio/status/850469540500840448,,,,
phidias51,4/7/2017 17:55,0,0,,,# #,8.50E+17,https://twitter.com/phidias51/status/850467005857767425,,,,
PortalOnconews,4/7/2017 17:35,0,0,,@,# #,8.50E+17,https://twitter.com/PortalOnconews/status/850462130214141956,,,,
gg_schwind,4/7/2017 17:24,0,1,,@ @ @,,8.50E+17,https://twitter.com/gg_schwind/status/850459325835464710,,,,
FlagshipBio,4/7/2017 17:08,0,0,,@,# #,8.50E+17,https://twitter.com/FlagshipBio/status/850455143892082689,,,,
l2presearch,4/7/2017 17:07,0,0,,,#,8.50E+17,https://twitter.com/l2presearch/status/850454963268591616,,,,
AML_Hub,4/7/2017 17:01,0,0,,,# #,8.50E+17,https://twitter.com/AML_Hub/status/850453389439901697,,,,
thanegn,4/7/2017 16:59,0,0,,,#,8.50E+17,https://twitter.com/thanegn/status/850452906461372417,,,,
EJohnWherry,4/7/2017 16:57,0,0,,,#,8.50E+17,https://twitter.com/EJohnWherry/status/850452537006338048,,,,
GENbio,4/7/2017 16:55,0,1,,,#,8.50E+17,https://twitter.com/GENbio/status/850451891859460096,,,,
TheCancerLetter,4/7/2017 16:44,0,1,,@ @,# #,8.50E+17,https://twitter.com/TheCancerLetter/status/850449100004884486,,,,
TheCancerLetter,4/7/2017 16:23,1,5,,@ @,,8.50E+17,https://twitter.com/TheCancerLetter/status/850443928344043520,,,,
SuzieSiegel,4/7/2017 16:11,1,1,,,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850440898538295296,,,,
SuzieSiegel,4/7/2017 16:06,0,0,,@,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850439606482993153,,,,
RayBiotech,4/7/2017 15:59,0,0,,,#Biomarkers #,8.50E+17,https://twitter.com/RayBiotech/status/850437978514219008,,,,
SwiftBioSci,4/7/2017 15:57,0,4,,@,# #,8.50E+17,https://twitter.com/SwiftBioSci/status/850437309845602304,,,,
chadinabhan,4/7/2017 15:57,1,1,,@,#,8.50E+17,https://twitter.com/chadinabhan/status/850437291810148352,,,,
youngriydah,4/7/2017 15:46,0,1,,,,8.50E+17,https://twitter.com/youngriydah/status/850434734912143360,,,,
youngriydah,4/7/2017 15:45,0,0,,,,8.50E+17,https://twitter.com/youngriydah/status/850434424911134720,,,,
SuzieSiegel,4/7/2017 15:43,1,1,,,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850433912765652993,,,,
SuzieSiegel,4/7/2017 15:38,1,1,,,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850432533196099585,,,,
AACR,4/7/2017 15:35,6,6,,,#,8.50E+17,https://twitter.com/AACR/status/850431781727850497,,,,
SuzieSiegel,4/7/2017 15:34,1,3,,@ @,# # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850431563284217857,,,,
SuzieSiegel,4/7/2017 15:30,0,0,,@,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850430532450123777,,,,
SuzieSiegel,4/7/2017 15:21,2,2,,,# # # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850428378729656321,,,,
fredhutch,4/7/2017 15:17,2,2,,@,#,8.50E+17,https://twitter.com/fredhutch/status/850427204785901568,,,,
StartX,4/7/2017 15:11,0,2,,@ @ @PRNewsChannel,#,8.50E+17,https://twitter.com/StartX/status/850425866756685824,,,,
phidias51,4/7/2017 15:10,0,1,,,# #,8.50E+17,https://twitter.com/phidias51/status/850425511771865094,,,,
DNABARCODE,4/7/2017 15:03,6,11,,@ @,# # # #,8.50E+17,https://twitter.com/DNABARCODE/status/850423683508305920,,,,
wdasfm,4/7/2017 15:00,0,1,,@ @ @ @,# # #,8.50E+17,https://twitter.com/wdasfm/status/850423115058380802,,,,
DelMarPharma,4/7/2017 15:00,0,0,,,# #,8.50E+17,https://twitter.com/DelMarPharma/status/850422967066664960,,,,
Awesomics,4/7/2017 14:53,1,1,,,#,8.50E+17,https://twitter.com/Awesomics/status/850421379363094528,,,,
aspenbio,4/7/2017 14:45,0,0,,,# #,8.50E+17,https://twitter.com/aspenbio/status/850419226104000512,,,,
BioWorld,4/7/2017 14:29,0,1,,,#,8.50E+17,https://twitter.com/BioWorld/status/850415139723542529,,,,
ScienceExchange,4/7/2017 14:25,1,3,,@,# # #,8.50E+17,https://twitter.com/ScienceExchange/status/850414195564728321,,,,
lymphomahub,4/7/2017 14:18,0,0,,,# #,8.50E+17,https://twitter.com/lymphomahub/status/850412363073323012,,,,
simjx,4/7/2017 14:16,0,0,,@ @ @,#,8.50E+17,https://twitter.com/simjx/status/850411956494368768,,,,
PDRennert,4/7/2017 14:14,13,25,,,#,8.50E+17,https://twitter.com/PDRennert/status/850411562082947074,,,,
SuzieSiegel,4/7/2017 14:01,0,0,,@,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850408211807121408,,,,
SuzieSiegel,4/7/2017 13:58,3,3,,,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850407436569759744,,,,
EpiExperts,4/7/2017 13:55,0,1,,@,#,8.50E+17,https://twitter.com/EpiExperts/status/850406673848119297,,,,
parkerici,4/7/2017 13:49,2,11,,,# # #,8.50E+17,https://twitter.com/parkerici/status/850405070088933378,,,,
joliver121,4/7/2017 13:48,0,0,,,# #,8.50E+17,https://twitter.com/joliver121/status/850404816245243904,,,,
SuzieSiegel,4/7/2017 13:42,1,0,,,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850403505336659968,,,,
SuzieSiegel,4/7/2017 13:40,1,0,,@,# # # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850402915172966401,,,,
SuzieSiegel,4/7/2017 13:36,1,0,,,# # #,8.50E+17,https://twitter.com/SuzieSiegel/status/850401856308338689,,,,
lymphomahub,4/7/2017 13:30,0,1,,,# #,8.50E+17,https://twitter.com/lymphomahub/status/850400385881841667,,,,
hopevaleda,4/7/2017 13:21,0,1,,@,# #,8.50E+17,https://twitter.com/hopevaleda/status/850398124074029056,,,,
cancerscnews,4/7/2017 13:20,0,0,,,#,8.50E+17,https://twitter.com/cancerscnews/status/850397845098287104,,,,
jc_atlantis,4/7/2017 13:15,0,0,,,,8.50E+17,https://twitter.com/jc_atlantis/status/850396677315985409,,,,
ara_anderson,4/7/2017 13:12,3,6,,@ @ @,,8.50E+17,https://twitter.com/ara_anderson/status/850395969040654336,,,,
GoHealio,4/7/2017 13:04,0,1,,@,# #,8.50E+17,https://twitter.com/GoHealio/status/850393897578659840,,,,
HemOncToday,4/7/2017 13:04,1,2,,@,# #,8.50E+17,https://twitter.com/HemOncToday/status/850393897490677760,,,,
AML_Hub,4/7/2017 12:55,0,0,,,# #,8.50E+17,https://twitter.com/AML_Hub/status/850391555542220800,,,,
ie_ruth,4/7/2017 12:40,0,1,,@ @,# # #,8.50E+17,https://twitter.com/ie_ruth/status/850387878089695232,,,,
fredhutch,4/7/2017 12:22,5,9,,,# #,8.50E+17,https://twitter.com/fredhutch/status/850383166506496002,,,,
lymphomahub,4/7/2017 12:19,1,1,,,# # #,8.50E+17,https://twitter.com/lymphomahub/status/850382422130774017,,,,
dhovekamp42,4/7/2017 12:13,0,0,,,#,8.50E+17,https://twitter.com/dhovekamp42/status/850381074693853185,,,,
CUCancerCenter,4/7/2017 12:01,0,2,,,# # #,8.50E+17,https://twitter.com/CUCancerCenter/status/850378105931923456,,,,
phidias51,4/7/2017 12:01,0,0,,,# #,8.50E+17,https://twitter.com/phidias51/status/850377995764338688,,,,
aspenbio,4/7/2017 12:01,0,1,,,# #,8.50E+17,https://twitter.com/aspenbio/status/850377994925465600,,,,
CancerNetwrk,4/7/2017 12:00,1,0,,,#,8.50E+17,https://twitter.com/CancerNetwrk/status/850377758505148416,,,,
SolimutMutuelle,4/7/2017 12:00,0,0,,,# # #,8.50E+17,https://twitter.com/SolimutMutuelle/status/850377637885235200,,,,
JackieM70,4/7/2017 11:43,0,1,,@LCAorghttp,# #,8.50E+17,https://twitter.com/JackieM70/status/850373355224084481,,,,
PDRennert,4/7/2017 11:40,3,8,,@ @,# #,8.50E+17,https://twitter.com/PDRennert/status/850372789425115136,,,,
lymphomahub,4/7/2017 11:35,0,0,,,# #,8.50E+17,https://twitter.com/lymphomahub/status/850371489920581635,,,,
BioStocks,4/7/2017 11:35,2,4,,,# #,8.50E+17,https://twitter.com/BioStocks/status/850371340699930624,,,,
FoundationATCG,4/7/2017 11:34,7,4,,,#,8.50E+17,https://twitter.com/FoundationATCG/status/850371188442501121,,,,
ASCOPost,4/7/2017 11:20,2,3,,,# # #,8.50E+17,https://twitter.com/ASCOPost/status/850367589196935172,,,,
CRiverLabs,4/7/2017 11:17,2,2,,,# # # #,8.50E+17,https://twitter.com/CRiverLabs/status/850366817486897158,,,,
NicholasBashour,4/7/2017 11:13,1,2,,,,8.50E+17,https://twitter.com/NicholasBashour/status/850365917905211392,,,,
Medscape,4/7/2017 11:10,16,13,,,# #,8.50E+17,https://twitter.com/Medscape/status/850365230316224513,,,,
cornellGUcancer,4/7/2017 11:05,0,1,,,# # # # #,8.50E+17,https://twitter.com/cornellGUcancer/status/850363934490193920,,,,
crownbioscience,4/7/2017 11:00,0,0,,,# # #,8.50E+17,https://twitter.com/crownbioscience/status/850362580967313408,,,,
Novartis,4/7/2017 11:00,1,17,,@,# #,8.50E+17,https://twitter.com/Novartis/status/850362553884606464,,,,
sethcorey,4/7/2017 10:54,0,1,,@vcuhealth,# # # #,8.50E+17,https://twitter.com/sethcorey/status/850361247350607874,,,,
KKauffman131,4/7/2017 10:52,0,2,,,# #,8.50E+17,https://twitter.com/KKauffman131/status/850360738342457344,,,,
DrCaley,4/7/2017 10:45,0,0,,@,#,8.50E+17,https://twitter.com/DrCaley/status/850358932996591616,,,,
ASCOPost,4/7/2017 10:45,1,1,,,# # #,8.50E+17,https://twitter.com/ASCOPost/status/850358787097669633,,,,
OncNurseEditor,4/7/2017 10:44,0,0,,@,# #,8.50E+17,https://twitter.com/OncNurseEditor/status/850358649071570945,,,,
Ablate_Cancer,4/7/2017 10:44,0,0,,,# #,8.50E+17,https://twitter.com/Ablate_Cancer/status/850358619304374273,,,,
ArthurBrodsky,4/7/2017 10:31,0,0,,,#,8.50E+17,https://twitter.com/ArthurBrodsky/status/850355333843365889,,,,
JSingerDAprile,4/7/2017 10:26,0,0,,,,8.50E+17,https://twitter.com/JSingerDAprile/status/850354006933286913,,,,
JSingerDAprile,4/7/2017 10:21,0,0,,,,8.50E+17,https://twitter.com/JSingerDAprile/status/850352894859767808,,,,
MDedgeHemOnc,4/7/2017 10:21,0,0,,,# # #,8.50E+17,https://twitter.com/MDedgeHemOnc/status/850352854024036352,,,,
MedscapePeds,4/7/2017 10:08,4,3,,,# #,8.50E+17,https://twitter.com/MedscapePeds/status/850349575953145856,,,,
NovartisScience,4/7/2017 10:00,17,34,,,# #,8.50E+17,https://twitter.com/NovartisScience/status/850347637496795141,,,,
SapnaSyngal,4/7/2017 10:00,0,4,,@,# #,8.50E+17,https://twitter.com/SapnaSyngal/status/850347438518943744,,,,
Biotchinvestor,4/7/2017 9:51,0,1,,,#,8.50E+17,https://twitter.com/Biotchinvestor/status/850345236098277376,,,,
Ludwig_Cancer,4/7/2017 9:44,3,2,,,#,8.50E+17,https://twitter.com/Ludwig_Cancer/status/850343509886369792,,,,
HSCRB,4/7/2017 9:40,0,1,,@ @,,8.50E+17,https://twitter.com/HSCRB/status/850342416292958209,,,,
JacobPlieth,4/7/2017 9:33,6,11,,@,#,8.50E+17,https://twitter.com/JacobPlieth/status/850340731399045120,,,,
AACR,4/7/2017 9:30,3,3,,,# #,8.50E+17,https://twitter.com/AACR/status/850340033102053376,,,,
Sinai_ITE,4/7/2017 9:29,0,1,,@ @,,8.50E+17,https://twitter.com/Sinai_ITE/status/850339785243807745,,,,
cure_magazine,4/7/2017 9:10,3,2,,,#,8.50E+17,https://twitter.com/cure_magazine/status/850334925328969728,,,,
BCRFcure,4/7/2017 9:10,1,7,,@,#,8.50E+17,https://twitter.com/BCRFcure/status/850334907536683009,,,,
MarcoBiotech,4/7/2017 9:05,0,0,,@,#,8.50E+17,https://twitter.com/MarcoBiotech/status/850333834851647488,,,,
PDRennert,4/7/2017 9:05,12,37,,@,#,8.50E+17,https://twitter.com/PDRennert/status/850333812454289408,,,,
Rick__Buck,4/7/2017 9:05,0,1,,@,#,8.50E+17,https://twitter.com/Rick__Buck/status/850333754367279105,,,,
HopkinsMedNews,4/7/2017 9:00,6,7,,,#,8.50E+17,https://twitter.com/HopkinsMedNews/status/850332330170343425,,,,
ARP1Bio,4/7/2017 8:55,0,0,,@,#,8.50E+17,https://twitter.com/ARP1Bio/status/850331118280769537,,,,
invivoantibody,4/7/2017 8:52,0,0,,,#2055 #,8.50E+17,https://twitter.com/invivoantibody/status/850330490754265088,,,,
frandrescher,4/7/2017 8:50,1,5,,@,#,8.50E+17,https://twitter.com/frandrescher/status/850329883192565760,,,,
joliver121,4/7/2017 8:28,0,0,,,#,8.50E+17,https://twitter.com/joliver121/status/850324356387307521,,,,
1stOncology,4/7/2017 8:25,1,0,,,# #,8.50E+17,https://twitter.com/1stOncology/status/850323639606153217,,,,
Accucoms,4/7/2017 8:20,1,1,,@,#,8.50E+17,https://twitter.com/Accucoms/status/850322284883701760,,,,
ESchattner,4/7/2017 8:04,15,21,,@ @,#197ab00d213c #,8.50E+17,https://twitter.com/ESchattner/status/850318245022322688,,,,
CUCancerCenter,4/7/2017 8:01,0,1,,,#,8.50E+17,https://twitter.com/CUCancerCenter/status/850317620142379008,,,,
RandySweisMD,4/7/2017 7:42,0,0,,,,8.50E+17,https://twitter.com/RandySweisMD/status/850312754409992192,,,,
lymphomahub,4/7/2017 7:38,0,0,,,# # #,8.50E+17,https://twitter.com/lymphomahub/status/850311910616694784,,,,
JackWhelan,4/7/2017 7:28,0,2,,@ @ @ @ @,,8.50E+17,https://twitter.com/JackWhelan/status/850309418470080513,,,,
LPMissy1202,4/7/2017 7:07,0,2,,@ @ @ @ @ @ @ @ @ @NETCancerBlog,# #,8.50E+17,https://twitter.com/LPMissy1202/status/850303961164906496,,,,
mb_Oncology,4/7/2017 7:01,0,0,,,# #,8.50E+17,https://twitter.com/mb_Oncology/status/850302416461352960,,,,
DES_Journal,4/7/2017 7:00,0,0,,@,#,8.50E+17,https://twitter.com/DES_Journal/status/850302370621902849,,,,
semodough,4/7/2017 6:54,2,1,,,#,8.50E+17,https://twitter.com/semodough/status/850300710302494721,,,,
OncologyCentral,4/7/2017 6:15,1,1,,,#,8.50E+17,https://twitter.com/OncologyCentral/status/850290895970848768,,,,
GoHealio,4/7/2017 6:15,0,0,,@,# # #,8.50E+17,https://twitter.com/GoHealio/status/850290806413860864,,,,
HemOncToday,4/7/2017 6:15,0,1,,@,# # #,8.50E+17,https://twitter.com/HemOncToday/status/850290806040666118,,,,
AJMC_Journal,4/7/2017 4:50,0,1,,@,# # #,8.50E+17,https://twitter.com/AJMC_Journal/status/850269416281341953,,,,
CDRLifeSciences,4/7/2017 4:21,0,0,,@,,8.50E+17,https://twitter.com/CDRLifeSciences/status/850262289819156481,,,,
BDBiosciences,4/7/2017 3:45,0,0,,,# #,8.50E+17,https://twitter.com/BDBiosciences/status/850253083166691328,,,,
biopathology,4/7/2017 3:42,0,0,,@,# #,8.50E+17,https://twitter.com/biopathology/status/850252436765687808,,,,
jsoriamd,4/7/2017 3:16,16,21,,,# #,8.50E+17,https://twitter.com/jsoriamd/status/850245874542272513,,,,
poloinfohiv,4/7/2017 3:16,0,0,,,#,8.50E+17,https://twitter.com/poloinfohiv/status/850245780715618304,,,,
FJEsteva,4/7/2017 2:25,0,0,,@,# #,8.50E+17,https://twitter.com/FJEsteva/status/850233148365389828,,,,
cellmol,4/7/2017 1:51,0,0,,,# #,8.50E+17,https://twitter.com/cellmol/status/850224583399489537,,,,
CUCancerCenter,4/7/2017 1:01,1,1,,,#,8.50E+17,https://twitter.com/CUCancerCenter/status/850211923773636609,,,,
cancerscnews,4/7/2017 0:45,0,0,,,#,8.50E+17,https://twitter.com/cancerscnews/status/850207786264743937,,,,
JSingerDAprile,4/7/2017 0:10,0,0,,,,8.50E+17,https://twitter.com/JSingerDAprile/status/850199065186811905,,,,
kao1753,4/6/2017 22:49,0,0,,,,8.50E+17,https://twitter.com/kao1753/status/850178706282696704,,,,
kao1753,4/6/2017 22:48,0,0,,@身体絞り中 @,#,8.50E+17,https://twitter.com/kao1753/status/850178484303347712,,,,
JackWhelan,4/6/2017 22:44,0,1,,@,#,8.50E+17,https://twitter.com/JackWhelan/status/850177455218446336,,,,
decolivia12,4/6/2017 22:39,0,1,,@,#,8.50E+17,https://twitter.com/decolivia12/status/850176216158138372,,,,
JackWhelan,4/6/2017 22:11,2,1,,@ @ @,,8.50E+17,https://twitter.com/JackWhelan/status/850169062994964480,,,,
UCSFCancer,4/6/2017 21:40,0,0,,@ @,# #,8.50E+17,https://twitter.com/UCSFCancer/status/850161243742773249,,,,
fredhutch,4/6/2017 21:36,1,1,,,# # #,8.50E+17,https://twitter.com/fredhutch/status/850160198916374529,,,,
sjpoezie,4/6/2017 21:27,0,0,,,#,8.50E+17,https://twitter.com/sjpoezie/status/850158154662981632,,,,
fredhutch,4/6/2017 20:22,4,8,,,# #,8.50E+17,https://twitter.com/fredhutch/status/850141572880621568,,,,
teamoncology,4/6/2017 19:47,0,0,,,#,8.50E+17,https://twitter.com/teamoncology/status/850132905980506112,,,,
teamoncology,4/6/2017 19:45,1,3,,,# #,8.50E+17,https://twitter.com/teamoncology/status/850132471765139458,,,,
LolaRahib,4/6/2017 19:42,0,5,,@ @ @ @,# #,8.50E+17,https://twitter.com/LolaRahib/status/850131697148547077,,,,
sean_tiernan,4/6/2017 19:42,0,0,,@ @,# #,8.50E+17,https://twitter.com/sean_tiernan/status/850131606119604225,,,,
CancerResearch,4/6/2017 19:36,1,6,,,# #,8.50E+17,https://twitter.com/CancerResearch/status/850130192806940672,,,,
Pelotonia,4/6/2017 19:00,6,26,,@,#,8.50E+17,https://twitter.com/Pelotonia/status/850121013857746945,,,,
MammaryCell,4/6/2017 18:52,0,0,,,# #,8.50E+17,https://twitter.com/MammaryCell/status/850119047630934016,,,,
SRI_Intl,4/6/2017 18:45,0,0,,,# # #,8.50E+17,https://twitter.com/SRI_Intl/status/850117211356364800,,,,
PortalOnconews,4/6/2017 18:28,0,0,,@,#,8.50E+17,https://twitter.com/PortalOnconews/status/850113071532167174,,,,
weldeiry,4/6/2017 18:17,0,1,,@,# #,8.50E+17,https://twitter.com/weldeiry/status/850110280675840001,,,,
johnabachman,4/6/2017 18:06,0,2,,,#,8.50E+17,https://twitter.com/johnabachman/status/850107410341654528,,,,
AJMC_Journal,4/6/2017 18:05,0,1,,,#,8.50E+17,https://twitter.com/AJMC_Journal/status/850107097333211141,,,,
brianbrewer,4/6/2017 17:48,0,2,,,# #,8.50E+17,https://twitter.com/brianbrewer/status/850103042905174016,,,,
SirohiBhawna,4/6/2017 17:20,0,2,,@ @ @ @ @ @,,8.50E+17,https://twitter.com/SirohiBhawna/status/850095847182348288,,,,
muddyclams,4/6/2017 17:18,1,7,,@ @,# #,8.50E+17,https://twitter.com/muddyclams/status/850095279613390848,,,,
NimaSharifiMD,4/6/2017 17:17,2,2,,@,# #,8.50E+17,https://twitter.com/NimaSharifiMD/status/850095117914562561,,,,
CancerResearch,4/6/2017 17:15,0,0,,,#,8.50E+17,https://twitter.com/CancerResearch/status/850094515843022848,,,,
AML_Hub,4/6/2017 17:01,0,0,,,# #,8.50E+17,https://twitter.com/AML_Hub/status/850091025410527233,,,,
DanaFarber,4/6/2017 17:00,2,7,,@ @ @,,8.50E+17,https://twitter.com/DanaFarber/status/850090752155820032,,,,
DNABARCODE,4/6/2017 16:48,1,2,,,# # #,8.50E+17,https://twitter.com/DNABARCODE/status/850087759993872384,,,,
BCRFcure,4/6/2017 16:45,0,0,,@,#,8.50E+17,https://twitter.com/BCRFcure/status/850086994625658881,,,,
bmsnews,4/6/2017 16:24,12,20,,@,#,8.50E+17,https://twitter.com/bmsnews/status/850081826462892032,,,,
Sinai_ITE,4/6/2017 16:20,0,0,,@ @,,8.50E+17,https://twitter.com/Sinai_ITE/status/850080740066852865,,,,
HemOncToday,4/6/2017 16:15,0,0,,@ @ @,,8.50E+17,https://twitter.com/HemOncToday/status/850079418303348736,,,,
GoHealio,4/6/2017 16:15,0,0,,@ @ @,,8.50E+17,https://twitter.com/GoHealio/status/850079413639168000,,,,
cancerassassin1,4/6/2017 16:01,0,7,,@ @ @,#,8.50E+17,https://twitter.com/cancerassassin1/status/850075894643404802,,,,
Sinai_ITE,4/6/2017 15:55,0,0,,@ @,,8.50E+17,https://twitter.com/Sinai_ITE/status/850074560309452801,,,,
nycdoc29,4/6/2017 15:51,0,0,,,# # #,8.50E+17,https://twitter.com/nycdoc29/status/850073498596909056,,,,
joliver121,4/6/2017 15:50,1,0,,,# #,8.50E+17,https://twitter.com/joliver121/status/850073209965690880,,,,
SuzieSiegel,4/6/2017 15:46,0,0,,,# #,8.50E+17,https://twitter.com/SuzieSiegel/status/850072148223905792,,,,
CancerResearch,4/6/2017 15:34,4,4,,@,# #,8.50E+17,https://twitter.com/CancerResearch/status/850069176588931072,,,,
deLeeuwRenee,4/6/2017 15:30,2,5,,@ @ @,#,8.50E+17,https://twitter.com/deLeeuwRenee/status/850068282065473536,,,,
drsam,4/6/2017 15:27,3,4,,@ @,#,8.50E+17,https://twitter.com/drsam/status/850067544861941760,,,,
TGeorgeMD,4/6/2017 15:23,0,3,,@,# # # # #,8.50E+17,https://twitter.com/TGeorgeMD/status/850066432184504320,,,,
