name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Eytan Ruppin,male,0.44675319,0.55324681,United States,National Cancer Institute,"GreaterEuropean,British",0.027532794,0.9461202,0.01905521,0.007291797,0.01166778,0.000630771,0.00457195,0.003423475,0.016316827,0.3594789,0.057719257,0.32263085,0.017972272,0.10131734,0.003382372,0.011308196,0.089579925,white
Bonnie Berger,female,0.752860915,0.247139085,United States,Massachusetts Institute of Technology,"GreaterEuropean,Jewish",0.011611657,0.9728467,0.012944996,0.002596709,0.002113103,0.001183918,0.000465853,0.002980444,0.013811545,0.05239849,0.02207747,0.08082113,0.25161904,0.3798894,0.028636634,0.036738347,0.12726463,white
Martin Vingron,male,0.44675319,0.55324681,Germany,Max Planck Institute for Molecular Genetics,"GreaterEuropean,WestEuropean,French",0.10517241,0.86059964,0.024699295,0.009528644,0.008221288,0.000994288,0.004337527,0.003505318,0.000788868,0.33113727,0.012237336,0.56105316,0.005174138,0.019585518,0.01831882,0.014110851,0.020535598,white
Franziska Michor,female,0.983670413,0.016329587,United States,Dana-Farber Cancer Institute,"GreaterEuropean,British",0.107156135,0.8410175,0.04525356,0.006572758,0.009726552,0.01909663,0.006716521,0.034800638,0.010573479,0.48411298,0.004934348,0.11458041,0.037021637,0.07208415,0.13983421,0.03066472,0.035853773,white
Rachel Kolodny,male,0.494698435,0.505301565,Israel,University of Haifa,"Asian,IndianSubContinent",0.025047557,0.9541838,0.016815871,0.003952774,0.0390479,0.0007058,0.33103293,0.044904098,0.022882009,0.19500324,0.21850312,0.015687423,0.009159514,0.10559732,0.006008667,0.000619946,0.010848167,white
Mihai Pop,female,0.865432837,0.134567163,United States,University of Maryland,"GreaterEuropean,British",0.13462998,0.7304645,0.05050699,0.08439853,0.027772704,0.006752273,0.017922482,0.009393082,0.05675156,0.5994987,0.03084377,0.17567676,0.010860137,0.020426186,0.030868243,0.009137441,0.004096531,white
Carlos D. Bustamante,female,0.500462181,0.499537819,United States,Stanford University,"GreaterEuropean,WestEuropean,Italian",0.000795156,0.088107996,0.86687887,0.044218015,0.003277747,0.000746404,0.022418333,0.002873282,0.001703005,0.06619324,0.001882129,0.2666171,0.020652121,0.003411683,0.23427236,0.36115563,0.014796989,hispanic
Eleazar Eskin,male,0.191727772,0.808272228,United States,UCLA,"GreaterEuropean,Jewish",0.085312404,0.8819835,0.023293676,0.00941043,0.003533603,0.007876769,0.00448337,0.004798488,0.038885757,0.31329682,0.1483004,0.057606645,0.005408113,0.34526983,0.029950596,0.030921353,0.009668186,white
Luay Nakhleh,female,0.58050454,0.41949546,United States,Rice University,"GreaterAfrican,Muslim",0.010642098,0.95007294,0.016461361,0.022823647,0.000503277,0.000250803,0.000724623,0.055171255,0.71808577,0.003787534,0.110302985,0.007895114,0.02080187,0.06413524,0.004559645,0.001264144,0.012517745,white
Bahar Behsaz,male,0.191727772,0.808272228,United States,UC San Diego,"GreaterAfrican,Muslim",0.007430357,0.18015306,0.70103425,0.111382365,9.57E-05,4.95E-05,0.013896656,0.00177248,0.93951815,0.00256915,0.002971762,0.000698206,0.001146057,0.031439383,0.003423789,0.002044216,0.000374827,hispanic
Rosario Corona,male,0.17751844,0.82248156,United States,Cedars-Sinai Medical Center,"GreaterEuropean,WestEuropean,Italian",0.001466526,0.06665422,0.9239988,0.007880462,0.000696501,0.001126844,0.000109761,0.000454914,0.001211091,0.005189384,0.005750389,0.01717939,0.002492426,0.008064467,0.09458662,0.86279464,0.000343613,hispanic
Hayk Barseghyan,male,0.050087887,0.949912113,United States,Children's National Medical Center,"GreaterEuropean,British",0.020013705,0.96368176,0.006844034,0.009460524,0.006410433,0.000251562,0.09036229,0.001916754,0.024320975,0.49286005,0.01012997,0.066546,0.01011025,0.014616123,0.003135436,0.025391046,0.25394914,white
Kayla Johnson,female,0.983670413,0.016329587,United States,Michigan State University,"GreaterEuropean,British",0.36471123,0.6181873,0.014731538,0.002369868,0.005796401,0.003908571,0.007982787,0.015191106,0.001373694,0.90252733,0.000651245,0.023272684,0.002019411,0.008101471,0.01439233,0.00441977,0.010363085,white
Rachid Ounit,male,0.14169756,0.85830244,United States,"University of California, Riverside","GreaterEuropean,WestEuropean,French",0.10517926,0.79893744,0.033441857,0.062441517,0.006436999,0.004380843,0.001569547,0.11077102,0.14533892,0.15158725,0.08217238,0.25686443,0.024439497,0.11754842,0.030916989,0.064746164,0.003227666,white
Minh Duc Cao,male,0.020871079,0.979128921,United States,4Catalyzer,"Asian,GreaterEastAsian,EastAsian",0.000551088,0.001678982,0.012479234,0.98529065,0.7682181,0.00766525,0.006048047,0.005103402,0.009647475,0.028366284,0.004632415,0.019866219,0.002300514,0.007534136,0.009331914,0.12978373,0.001502615,api
Srinivas Aluru,male,0.298720472,0.701279528,United States,Georgia Tech,"GreaterEuropean,WestEuropean,Hispanic",0.061482336,0.7324666,0.15212388,0.053927157,0.001292912,0.004876546,0.12960297,0.08003642,0.08987284,0.0154915,0.005256534,0.09398778,0.006001802,0.049457025,0.48014557,0.042811703,0.001166342,white
Xin Gao,male,0.44675319,0.55324681,United States,NIH,"Asian,GreaterEastAsian,EastAsian",0.001222365,0.008108967,0.016683731,0.97398496,0.90284866,0.033917572,0.028351858,0.009038527,0.000825705,0.005576231,0.001451269,0.001264941,0.000295396,0.001243737,0.004615398,0.008899841,0.001670833,api
Harun Mustafa,male,0.44675319,0.55324681,Switzerland,ETH Zurich,"GreaterAfrican,Muslim",0.08992277,0.24877797,0.02502342,0.6362758,0.002022645,0.000917914,0.114050806,0.06970973,0.48111033,0.088504456,0.016446762,0.043589447,0.004807182,0.009720392,0.02761101,0.13911803,0.002391247,api
David Danko,male,0.14169756,0.85830244,United States,Weill Cornell Medical College,"GreaterEuropean,EastEuropean",0.004244654,0.97271067,0.015694091,0.007350574,0.0230901,0.0555779,0.043041486,0.08876186,0.045376927,0.06258649,0.58780813,0.032826867,0.008047858,0.015402423,0.018898046,0.016091028,0.00249088,white
Advait Balaji,male,0.288397688,0.711602312,United States,Rice University,"Asian,IndianSubContinent",0.041017354,0.15353017,0.24828814,0.5571643,0.001487138,0.000758971,0.6802841,0.12415488,0.098235406,0.028101536,0.010720113,0.013537779,0.000618367,0.028013323,0.005875751,0.0079472,0.000265578,api
Welles Robinson,male,0.298720472,0.701279528,United States,"Center for Bioinformatics and Computational Biology, University of Maryland","GreaterEuropean,British",0.50197166,0.46399462,0.028504122,0.005529593,0.001047185,0.001832365,0.003338164,0.001957719,0.000260511,0.9039728,0.001023826,0.028924024,0.000647579,0.027391193,0.011146871,0.014765417,0.003692358,black
Joel Mefford,male,0.494698435,0.505301565,United States,UCSF,"GreaterEuropean,British",0.13378178,0.8423299,0.01912911,0.004759134,0.002146835,0.000236847,0.005965265,0.006440633,0.002268727,0.74024993,0.009499691,0.18413416,0.002642167,0.028808638,0.011764875,0.002876257,0.00296598,white
Shibu Yooseph,male,0.342521475,0.657478525,United States,University of Central Florida,"GreaterEuropean,British",0.1961131,0.6952395,0.024923103,0.08372432,0.001487829,0.003841795,0.11926812,0.12027965,0.033328943,0.43427834,0.006549538,0.083650425,0.00260699,0.13845558,0.033432897,0.02027982,0.002540005,white
Parsoa Khorsand,female,0.983670413,0.016329587,United States,UC Davis Genome Center,"Asian,IndianSubContinent",0.039556187,0.38997155,0.009296178,0.5611761,0.018319223,0.001213493,0.59648454,0.008287355,0.046735674,0.05616662,0.053311463,0.09879455,0.008475054,0.02417469,0.00574971,0.002697779,0.079589725,api
Alexander McKim,male,0.191727772,0.808272228,United States,Michigan State University,"GreaterEuropean,British",0.18342143,0.77473557,0.015637552,0.026205484,0.017420938,0.010337523,0.000354598,0.00222658,0.000161398,0.8115354,0.002392697,0.11043658,0.001995157,0.013287157,0.023250084,0.005538166,0.001063802,white
Emmanuel BARILLOT,male,0.494698435,0.505301565,France,institut Curie,"GreaterEuropean,WestEuropean,French",0.055370625,0.8794033,0.05066736,0.014558682,4.09E-05,4.01E-06,0.001320537,0.001100701,0.000109297,0.008579329,4.62E-05,0.9847052,0.000216134,0.000852459,0.00211449,0.000729868,0.000181004,white
Pouya Kheradpour,female,0.983670413,0.016329587,United States,Verily Life Sciences,"GreaterAfrican,Muslim",0.011951812,0.07056109,0.009703642,0.90778345,0.000990851,3.62E-05,0.3713342,0.020646371,0.40760395,0.026796443,0.017401805,0.14083967,0.001144874,0.007638579,0.002470213,0.000612266,0.002484562,api
Ladan Doroud,male,0.44675319,0.55324681,United States,Ancestry,"GreaterEuropean,WestEuropean,French",0.23948401,0.739052,0.018214952,0.003249118,0.015852783,0.007223185,0.01905582,0.039469063,0.26020414,0.15843911,0.011212424,0.43565223,0.002004088,0.023379656,0.009610238,0.015969265,0.001928042,white
Benjamin Chidester,male,0.44675319,0.55324681,United States,Carnegie Mellon University,"GreaterEuropean,British",0.10347436,0.8795834,0.013516205,0.003426079,0.004395089,0.003983011,0.015011397,0.009873985,0.001447887,0.7837851,0.021040939,0.04455901,0.014895306,0.05938983,0.013790441,0.01976925,0.008058682,white
Milos Pavlovic,male,0.298720472,0.701279528,United States,Navican Genomics Inc,"GreaterEuropean,EastEuropean",0.001344907,0.9845064,0.011676188,0.002472528,0.000822681,0.000973957,0.002251214,0.005272523,0.011980697,0.22998086,0.5082452,0.058149498,0.007542891,0.12615034,0.031025007,0.016578233,0.00102692,white
Mohsen Zakeri,male,0.44675319,0.55324681,United States,Stony Brook University,"GreaterAfrican,Muslim",0.010864694,0.95188487,0.03243754,0.004812921,0.006637336,0.020622632,0.048354607,0.032877937,0.62235326,0.03574117,0.015432296,0.0340311,0.00946418,0.10016964,0.019820563,0.04737596,0.007119348,white
Ben Raphael,male,0.44675319,0.55324681,United States,Princeton University,"GreaterEuropean,Jewish",0.15620415,0.7623342,0.059044313,0.022417286,0.001542271,6.35E-05,0.005739047,0.009150886,0.01796245,0.09093356,0.01950316,0.041230317,0.010423372,0.792143,0.004446593,0.005893604,0.000968297,white
Surajit Bhattacharya,male,0.288397688,0.711602312,United States,Children's National Health System,"Asian,IndianSubContinent",0.002088666,0.006845823,0.003626138,0.98743945,8.49E-06,3.62E-06,0.9988708,0.000332162,0.000627441,3.75E-05,4.82E-05,3.64E-05,1.94E-07,7.32E-06,2.15E-05,6.09E-06,7.80E-08,api
Ron Zeira,male,0.44675319,0.55324681,United States,Princeton University,"GreaterEuropean,WestEuropean,Hispanic",0.002777442,0.45812953,0.50877273,0.030320363,0.009513408,0.016636081,0.020837685,0.030293154,0.051848665,0.0531155,0.019869516,0.023399167,0.004186125,0.09020866,0.61697173,0.056161866,0.006958436,hispanic
Cinzia Pizzi,female,0.983670413,0.016329587,Italy,"DEI, University of Padova","GreaterEuropean,WestEuropean,Italian",0.004602837,0.94544655,0.044038847,0.005911761,0.000763693,0.00031443,0.00086183,0.003052695,0.007713228,0.024794346,0.004051373,0.021412674,0.001548469,0.009547169,0.061456423,0.8599589,0.004524828,white
Marteinn Hardarson,male,0.44675319,0.55324681,Iceland,deCODE genetics,"GreaterEuropean,British",0.24812512,0.73061734,0.017995631,0.003261943,0.001349717,0.000367151,0.00207434,0.002575685,0.005877747,0.8974562,0.004416695,0.029695656,0.003435843,0.01718947,0.005888901,0.001641847,0.02803078,white
Gunnar Pálsson,male,0.191727772,0.808272228,Iceland,deCODE genetics,"GreaterEuropean,British",0.104442775,0.87804717,0.01473497,0.002775053,0.002214559,0.004358462,0.000660801,0.020788668,0.001185514,0.434772,0.016714165,0.05431508,0.006503742,0.04995056,0.026615983,0.008228824,0.37369156,white
Bjarni Halldorsson,female,0.865432837,0.134567163,Iceland,deCODE genetics,"GreaterEuropean,British",0.18048626,0.80049306,0.016939376,0.002081298,0.003330552,0.001322261,0.00177456,0.014392238,0.001173741,0.69760853,0.004280704,0.04935584,0.005374259,0.030741096,0.012739391,0.003273599,0.17463326,white
Benjamin DeMeo,male,0.44675319,0.55324681,United States,Harvard University,"GreaterEuropean,WestEuropean,Italian",0.003465666,0.9468019,0.015573878,0.034158614,0.02219752,0.012030726,0.037065197,0.20863785,0.010110444,0.119620204,0.00611362,0.014156959,0.001508371,0.004889776,0.059651956,0.503156,0.00086141,white
Yunan Luo,male,0.44675319,0.55324681,United States,University of Illinois at Urbana-Champaign,"Asian,GreaterEastAsian,EastAsian",0.000254247,0.001236913,0.000644511,0.9978644,0.96369386,0.008353918,0.000498873,0.002030174,0.001160955,0.004173238,0.001104044,0.001029504,0.000602729,0.00157966,0.00057757,0.003392278,0.011803011,api
Yufeng Wu,male,0.262858058,0.737141942,United States,University of Connecticut,"Asian,GreaterEastAsian,EastAsian",0.0003789,0.001420714,0.001238517,0.9969619,0.98061085,0.000794322,7.83E-05,0.002668971,4.39E-05,0.01432607,0.000157071,0.000308999,0.000135886,0.00042398,0.000145948,0.000182315,0.000123184,api
Kathleen Chen,male,0.44675319,0.55324681,United States,Flatiron Institute,"Asian,GreaterEastAsian,EastAsian",0.004138276,0.010262096,0.004654848,0.98094475,0.9454943,0.001576148,0.001255082,0.00033948,0.000496807,0.021351635,0.00150475,0.001753924,0.000645378,0.01722373,0.001632564,0.001772066,0.004954245,api
Evan Cofer,male,0.44675319,0.55324681,United States,Princeton University,"GreaterEuropean,British",0.10650616,0.87657034,0.014575416,0.002348041,0.003678299,0.007135456,0.006121156,0.004282049,0.003087172,0.5698634,0.01746513,0.081114985,0.005140059,0.2662468,0.017369995,0.015069253,0.003426306,white
Aaron Wong,male,0.44675319,0.55324681,United States,Flatiron Institute,"Asian,GreaterEastAsian,EastAsian",0.003793116,0.023288954,0.017663311,0.9552547,0.8539867,0.001921824,0.000413737,0.001963146,0.001290685,0.0971124,0.005709028,0.008071958,0.001586113,0.020571265,0.004866872,0.000588735,0.001917597,api
Ran Zhang,male,0.44675319,0.55324681,United States,Princeton University,"Asian,GreaterEastAsian,EastAsian",0.000148986,0.001574047,0.000469988,0.99780697,0.9922673,5.04E-05,0.000443295,0.000141951,0.000806133,0.001591126,0.001097325,0.001314515,0.000239789,0.000209368,0.000988026,0.000117424,0.000733308,api
Vicky Yao,female,0.58050454,0.41949546,United States,Princeton University,"Asian,GreaterEastAsian,EastAsian",0.000472304,0.007868615,0.002603503,0.98905563,0.9979582,0.001739453,2.07E-06,7.76E-05,1.71E-05,3.87E-05,8.44E-05,1.96E-05,3.68E-07,3.25E-05,8.96E-06,5.44E-06,1.57E-05,api
