username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,
tealtoes,6/7/2014 7:50,5,3,# ASCO14 wrapped up this week. See the Ovarian Cancer National Alliance's roundup of research. @ OCNA @ ASCO http://fb.me/3f1LE2fZo,,@ @,#,4.75243E+17,https://twitter.com/tealtoes/status/475243437311016960,,,,
EVEPIE,6/7/2014 7:49,2,1,Editos à découvrir chaque semaine sur @ cancercontrib une touche d’humour de @ dubois_damien. # ASCO14 le dernier http://goo.gl/Rt24MW,,@ @,#,4.75243E+17,https://twitter.com/EVEPIE/status/475243038839947264,,,,
OncLive,6/7/2014 7:15,0,0,"Angela Dispenzieri, MD, discusses excitement over CD38-targeted monoclonal antibodies in multiple myeloma http://ow.ly/xJ9jq # ASCO14",,,#,4.75235E+17,https://twitter.com/OncLive/status/475234509538209793,,,,
BairdAM,6/7/2014 6:47,5,2,"# lcsm RT  @ Boehringer: ""Lung cancer is the most commonly diagnosed cancer worldwide"" Dr Maya Gottfried http://bit.ly/1j1RTda # ASCO14""""",,@,# #,4.75228E+17,https://twitter.com/BairdAM/status/475227587220738049,,,,
SeqComplete,6/7/2014 6:01,0,0,buzzz at # ASCO14 http://tweetedtimes.com/search/%23ASCO14/en …,,,#,4.75216E+17,https://twitter.com/SeqComplete/status/475215872358117376,,,,
BORJAKAISER,6/7/2014 5:40,0,0,La primera vez y espero que la última que voy a pisar La torre por culpa de mis colegas ... # ASCO14,,,#,4.75211E+17,https://twitter.com/BORJAKAISER/status/475210793290842112,,,,
MelanomaMom,6/7/2014 4:34,1,1,RT @ HealioDerm: Ipilimumab nivolumab combo demonstrated encouraging activity in advanced # melanoma @ ASCO Meeting http://ow.ly/xD5Zj,,@ @,#,4.75194E+17,https://twitter.com/MelanomaMom/status/475193963301711875,,,,
OncLive,6/7/2014 2:20,2,1,Pembrolizumab has robust activity as a first-line treatment for patients with advanced PD-L1-positive NSCLC http://ow.ly/xJ3IL # ASCO14,,,#,4.7516E+17,https://twitter.com/OncLive/status/475160238254194688,,,,
ohmsonite,6/7/2014 1:26,0,0,@ bradloncar @ BiologyFool Pretty good summary of # ASCO14 except he kept confusing Imbruvica with Iclusig. Thx for sharing.,,@ @,#,4.75147E+17,https://twitter.com/ohmsonite/status/475146736675999744,,,,
fischmd,6/6/2014 22:42,10,6,"Screening, assessment, and management of fatigue in adult survivors of # cancer: @ ASCO http://ow.ly/xJjp7 # hpm @PallOnc # supponc",,@ @PallOnc,# # #,4.75105E+17,https://twitter.com/fischmd/status/475105495087185921,,,,
subatomicdoc,6/6/2014 22:09,0,0,Thank you @ drnic1 @ ASCO @ 3NT @ pshaheen75 @ brianreid @ WoodMD @ DrMiguelPerales @beardslc @ mtmdphd for your RTs! Much appreciated :),,@ @ @ @ @ @ @ @beardslc @,,4.75097E+17,https://twitter.com/subatomicdoc/status/475097067074121728,,,,
rschilsky,6/6/2014 21:55,3,1,Major contributions to # ASCO14 by UChicago faculty. http://cancer http://conversations.uchospitals.edu/featured/uchicago-leaves-its-imprint-on-the-50th-annual-asco-meeting/ …,,,#,4.75094E+17,https://twitter.com/rschilsky/status/475093754253434881,,,,
fischmd,6/6/2014 21:54,2,0,"RT @ AJPB_Journal: Stopping Statins Safe, Cuts Costs, in Terminal Patients via @ Medscape http://ow.ly/xGas0 # ASCO14",,@ @,#,4.75093E+17,https://twitter.com/fischmd/status/475093358667649024,,,,
JackWestMD,6/6/2014 21:38,2,0,Benefit is tiny: too low bar. MT @ OncLive: Adding necitumumab to chemo improves surv in adv squamous NSCLC http://flip.it/ohVeN # ASCO14,,@,#,4.75089E+17,https://twitter.com/JackWestMD/status/475089495990497280,,,,
OncLive,6/6/2014 21:30,0,2,Upfront necitumumab plus gemcitabine-cisplatin significantly improves survival in stage IV squamous NSCLC http://ow.ly/xIktR # ASCO14,,,#,4.75087E+17,https://twitter.com/OncLive/status/475087317687095296,,,,
medpagetoday,6/6/2014 20:30,0,1,ASCO: Gilotraf ups survival in some lung cancers. @ atscommunity # ASCO14 http://bit.ly/1rR9NZM,,@,#,4.75072E+17,https://twitter.com/medpagetoday/status/475072152547237890,,,,
OncLive,6/6/2014 20:05,1,0,Dr. Angela Dispenzieri from @ MayoClinic Discusses Anti-CD38 Monoclonal Antibodies in Myeloma http://ow.ly/xJ9bV # ASCO14,,@,#,4.75066E+17,https://twitter.com/OncLive/status/475065863125880832,,,,
djsampson,6/6/2014 19:00,0,0,@ 3NT @ ASCO @ symplur key to keeping it manageable for me was iPhone app that let me limit to only those I follow,,@ @ @,,4.7505E+17,https://twitter.com/djsampson/status/475049708801773568,,,,
ESchattner,6/6/2014 18:54,4,2,"MT @ 33charts: Social media and cancer communities, # ASCO14 talk by @ subatomicdoc, @ SlideShare - http://bit.ly/1rS6nWD",,@ @ @,#,4.75048E+17,https://twitter.com/ESchattner/status/475048126915424256,,,,
33charts,6/6/2014 18:46,0,1,“ @ subatomicdoc: My talk from # ASCO14: Social media in clinical practice http://slidesha.re/1jXEfHE via @ ASCO # HLTHTOP # hcsm”,,@ @,# # #,4.75046E+17,https://twitter.com/33charts/status/475046103901949952,,,,
jagasquet,6/6/2014 18:39,0,1,Five questions raised this week in # pharma after # ASCO14 http://www.firstwordpharma.com/node/1215453 via @ fwpharma,,@,# #,4.75044E+17,https://twitter.com/jagasquet/status/475044252968181760,,,,
jagasquet,6/6/2014 18:34,0,0,3 Pharma Giants Battling for Immuno-Oncology Dominance http://www.fool.com/investing/general/2014/06/06/3-pharma-giants-battling-for-immuno-oncology-domin.aspx#.U5JBZ2BAWOU.twitter … via @ themotleyfool # immunotherapy # ASCO14,,@,# # #,4.75043E+17,https://twitter.com/jagasquet/status/475043083747225600,,,,
jagasquet,6/6/2014 18:31,0,1,# ASCO14 Oncology Stocks: Recap and Scoreboard http://raygent.com/biopharm-portfolio/asco-oncology-stocks-recap-and-scoreboard-agio-mdvn-sgen-winners/?utm_source=rss&utm_medium=rss&utm_campaign=asco-oncology-stocks-recap-and-scoreboard-agio-mdvn-sgen-winners …,,,#,4.75042E+17,https://twitter.com/jagasquet/status/475042363203928064,,,,
nycdoc29,6/6/2014 18:14,0,0,“ @ CancerNetwrk: Ibrutinib Shows Huge Benefit Over Ofatumumab in CLL & SLL http://bit.ly/1j49Wj7 # ASCO14” - Who really uses single Arzerra?,,@,#,4.75038E+17,https://twitter.com/nycdoc29/status/475037992823050241,,,,
AidanBaker,6/6/2014 18:14,0,0,MT @ nishadoshi Twitter & cancer--reminds me how librarians can use twitter # ASCO14 http://www.medpagetoday.com/HematologyOncology/LungCancer/46176 … …,,@,#,4.75038E+17,https://twitter.com/AidanBaker/status/475037942231367680,,,,
nycdoc29,6/6/2014 18:11,0,0,“ @ JSweetenhamMD: reading # ASCO14 - ibrutinib likely a game-changer for patients with CLL” ~ YES though not needed for majority of CLL pts.,,@,#,4.75037E+17,https://twitter.com/nycdoc29/status/475037377640280064,,,,
AsimJshaikh,6/6/2014 18:08,0,0,"Back Home - Enjoyed the vibrant , informative, academic and scientific ( relating to society : indeed ) stuff discussed at # ASCO14",,,#,4.75036E+17,https://twitter.com/AsimJshaikh/status/475036477639098368,,,,
OncLive,6/6/2014 18:07,0,1,Pembrolizumab Induces Robust Responses in PD-L1-positive NSCLC http://ow.ly/xJ3DN # ASCO14,,,#,4.75036E+17,https://twitter.com/OncLive/status/475036363705028608,,,,
UCCancerCenter,6/6/2014 18:06,0,0,Happy # ResearchFindingsFriday! Highlights of @ UCCancerCenter Research presented at @ ASCO Meeting - http://bit.ly/1p3SZfS,,@ @,#,4.75036E+17,https://twitter.com/UCCancerCenter/status/475036077431218176,,,,
_Phenomenome,6/6/2014 18:04,0,0,Thoughts on the benefits of twitter and tweeting from oncologists at # ASCO14 http://www.medpagetoday.com/HematologyOncology/LungCancer/46176 … via @ nishadoshi,,@,#,4.75036E+17,https://twitter.com/_Phenomenome/status/475035579659599874,,,,
nycdoc29,6/6/2014 17:57,0,0,Oncologists: Why Tweet ~ unfiltered forum to voice opinions ESP for private practice MDs who increasingly sidelined in reg channels. # ASCO14,,,#,4.75034E+17,https://twitter.com/nycdoc29/status/475033697432141825,,,,
WWFH_WA,6/6/2014 17:55,0,0,RT @ drattai Clinical trials are ongoing to answer some of these remaining questions. Trials are how we make progress # ASCO14 # bcsm,,@,# #,4.75033E+17,https://twitter.com/WWFH_WA/status/475033200117678080,,,,
DrBobGoldberg,6/6/2014 17:50,0,0,And puts @ asco rationing app into stark relief. # ascorations https://m.facebook.com/photo.php?fbid=10100579460768034&id=26311561&set=a.648426880434.2196840.26311561&source=43 …,,@,#,4.75032E+17,https://twitter.com/DrBobGoldberg/status/475031980980322304,,,,
mtmdphd,6/6/2014 17:45,1,0,RT @ ASCO: Comparing # ASCO13 & # ASCO14 Twitter data (measures 4 days prior to meeting start to last day) via @ Symplur,,@ @,# #,4.75031E+17,https://twitter.com/mtmdphd/status/475030683250094081,,,,
RolfeYPB,6/6/2014 17:37,0,1,# Immunotherapy created a stir at last year’s @ ASCO # annualmeeting w/ some # MDs predicting a revolution in # cancercare http://nyti.ms/1nXvwLa,,@,# # # #,4.75029E+17,https://twitter.com/RolfeYPB/status/475028833632927744,,,,
nishadoshi,6/6/2014 17:29,1,1,Thoughts on the benefits of twitter and tweeting from oncologists at # ASCO14 http://www.medpagetoday.com/HematologyOncology/LungCancer/46176 …,,,#,4.75027E+17,https://twitter.com/nishadoshi/status/475026800683520000,,,,
MyelomaTeacher,6/6/2014 17:27,1,2,# ASCO14: The Impact of # Race and Socio-Economic Status on Survival in Multiple # Myeloma @ IMFmyeloma # mmsm http://m.youtube.com/watch?v=v6EdYahEMfw&feature=em-uploademail …,,@,# # # #,4.75026E+17,https://twitter.com/MyelomaTeacher/status/475026146816720896,,,,
