username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,,,
MedscapeOnc,4/22/2018 15:00,7,9,"Already used for nonresectable lung cancer, # immunotherapy is now heading for the neoadjuvant niche: http://ms.spr.ly/6018rFZNa # AACR18",,,# #,9.8813E+17,https://twitter.com/MedscapeOnc/status/988130493353877504,,,,,,
char1eylu,4/22/2018 14:27,0,0,"$ MGNX Preclinical Development of MGC018, a Duocarmycin-based Antibody-drug Conjugate Targeting B7-H3 for Solid Cancer http://ir.macrogenics.com/static-files/19044422-c9f2-4702-98b9-eaab9142ab3f … # AACR18",,,#,9.88122E+17,https://twitter.com/char1eylu/status/988122190921920513,,,,,,
jamya_mia,4/22/2018 13:14,0,3,桜のAACR中にジャムも購入して下さった方が何名かいらっしゃいましたが、重くなるので大丈夫なのかヒヤヒヤしました（笑） 購入して下さりありがとうございました(っ´ω`c)󾭠 今回は大きな事故がなく、天気に恵まれて良かったですね♪ # AACR2018 # 桜のAACR # AACR,,,# # #,9.88104E+17,https://twitter.com/jamya_mia/status/988103693667987456,,,,,,
Nal4t5,4/22/2018 12:01,0,0,"Izumi, Good chatting with you during AACR. You mentioned a Rudi Abersold pub with lots of PPI information. Could you send me a reference? Tx, G",,,,9.88085E+17,https://twitter.com/Nal4t5/status/988085468712534016,,,,,,
RareDR,4/22/2018 12:00,1,0,"New data presented at the 2018 @ AACR Annual Meeting show that a new combination with pembrolizumab ( @ Merck) could provide long-term, systemic responses in patients with advanced melanoma. READ: http://raredr.com/link/3350 pic.twitter.com/TwTvKhdChF",,@ @,,9.88085E+17,https://twitter.com/RareDR/status/988085188835069953,,,,,,
BioCentury,4/22/2018 12:00,0,0,"What did doctors learn about # Keytruda, PD-L1 and TMB at # AACR18 ? Find out with @ ecukier in BioCenturyhttps://buff.ly/2qQC868",,@,# #,9.88085E+17,https://twitter.com/BioCentury/status/988085071616860161,,,,,,
SelectScience,4/22/2018 11:35,1,1,"The @ mmiTeam launched their new system, the MMI CellScan, at # AACR18. Read more about this new module that combines whole slide imaging with laser microdissection here: https://bit.ly/2JaUfKK pic.twitter.com/M78gMJKK25",,@,#,9.88079E+17,https://twitter.com/SelectScience/status/988078740243664896,,,,,,
hashemalsaab,4/22/2018 10:45,0,0,تسلم اخوي الغالي ابو الحسن.. ومنكم نتعلم الابداع,,,,9.88066E+17,https://twitter.com/hashemalsaab/status/988066181474082816,,,,,,
hashemalsaab,4/22/2018 10:44,0,0,الله يسمع منك ابوعبدالله.. تسلم على كلامك الجميل..,,,,9.88066E+17,https://twitter.com/hashemalsaab/status/988065971230396416,,,,,,
sakae243,4/22/2018 10:19,0,6,桜のAACR、聖地巡礼編 ロードバイクで来る事になるとは昔、着た時は全く想像しなかったなぁ Yショップにしは時柄止まったままに感じるくらい変わってなかった あの時、一緒に来た某氏がうどん食ってたなぁと店の中に入って思い出したw # AACR # AACR2018 # 桜のAACR #おねティ#おねツイpic.twitter.com/CATWDeIsxV,,,# # # #おねティ #おねツイpic,9.8806E+17,https://twitter.com/sakae243/status/988059680516685824,,,,,,
fukumens,4/22/2018 10:16,0,1,そんな中でも楽しかった局面を幾つか。 # AACR2018 pic.twitter.com/dXK8xrP9Ze,,,#,9.88059E+17,https://twitter.com/fukumens/status/988058952796549122,,,,,,
sakae243,4/22/2018 10:13,0,3,桜のAACR、エイド食編 # AACR # AACR2018 # 桜のAACR この中に一つ、違うものが入っているw 寄り道してパリブレスト買ってきたpic.twitter.com/mc92MylrwE,,,# # #,9.88058E+17,https://twitter.com/sakae243/status/988058170189791232,,,,,,
fukumens,4/22/2018 10:10,0,1,今年の桜のAACRで残念だったこと。 ①松本辺りでは桜終了。 ②山の雪が少なく見えた。 ③お腹の不調でエイドがあまり楽しめなかった。 ④初夏かと言いたくなるような陽気。 ⑤ボッチ参戦 なんだ、大変じゃないか( ´Д｀)=3 # AACR2018,,,#,9.88057E+17,https://twitter.com/fukumens/status/988057496680976386,,,,,,
atiah1170,4/22/2018 10:08,1,1,رائع و مبدع كعاداتك د. هاشم وأسأل الله لك التوفيق و السداد,,,,9.88057E+17,https://twitter.com/atiah1170/status/988056868403732480,,,,,,
sakae243,4/22/2018 10:06,0,8,桜のAACR、絶景編 # AACR # AACR2018 # 桜のAACRpic.twitter.com/vi593itHm8,,,# # #,9.88057E+17,https://twitter.com/sakae243/status/988056519160692736,,,,,,
sakae243,4/22/2018 9:57,0,8,こんな装備で完走しました # AACR2018 # AACR # 桜のAACR # ぴよぴよ貧脚レーシング # デュアルメッシュ ジャージは一人同じの着てる一人いて、お互いに「おっ」って顔になったw デュアルメッシュは30度まで上がった気温でもサラッとした着心地でなかなか良かった 湿度が高くなるとどうなるかだなぁ…pic.twitter.com/ke25IrhvgU,,,# # # # #,9.88054E+17,https://twitter.com/sakae243/status/988054071775916033,,,,,,
MathanSivapar,4/22/2018 9:47,0,0,Chronic alcohol exposure induces malignant transformation of pancreatic ductal epithelial cells and generates stem cell characteristics - http://www.abstractsonline.com/pp8/#!/4562/presentation/6208 … # AACR18,,,# #,9.88052E+17,https://twitter.com/MathanSivapar/status/988051732549775361,,,,,,
MathanSivapar,4/22/2018 9:32,0,0,Oral cancer stem cells modulate <i>Fusobacterium nucleatum</i> to acquire the capability to induce tumor stemness switch - http://www.abstractsonline.com/pp8/#!/4562/presentation/6204 … # AACR18,,,# #,9.88048E+17,https://twitter.com/MathanSivapar/status/988047845067501568,,,,,,
crq_szk_bot,4/22/2018 9:20,0,0,おいおいたまごん @ AACRァ〜 リタイアするとは情けないっすね〜(嘲笑 ショートサーキットから出直してきたらどうっすか〜？,,@,,9.88045E+17,https://twitter.com/crq_szk_bot/status/988044951756853249,,,,,,
yuno201_bot,4/22/2018 9:20,0,0,おやすみなさいたまごん @ AACRさん♪明日もいい天気になるといいなぁ…,,@,,9.88045E+17,https://twitter.com/yuno201_bot/status/988044835071279105,,,,,,
yanndere_yukimi,4/22/2018 9:18,0,0,たまごん @ AACR………ここ……。私の……隣……,,@,,9.88044E+17,https://twitter.com/yanndere_yukimi/status/988044494095335424,,,,,,
chiyan2742,4/22/2018 9:04,0,8,楽しかった＼(^o^)／ ふなっしー連れてたらめっちゃ声かけてもらえた( *´艸｀) # AACR2018 pic.twitter.com/Um8ICH2yFP,,,#,9.88041E+17,https://twitter.com/chiyan2742/status/988040960612352000,,,,,,
yanndere_yukimi,4/22/2018 8:25,0,0,たまごん @ AACRと……私……まぁるくなって……しあわせな……夢……見よう……,,@,,9.88031E+17,https://twitter.com/yanndere_yukimi/status/988031061874524160,,,,,,
WebMax49,4/22/2018 8:24,0,0,RT @ CancerRX: A Robot Does the Impossible: Assembling an Ikea Chair Without Having a Meltdown - WIRED @ WIRED @ Apple # Robotics # AACR18 @ IKEAUSA # ikea # robot # IBMWatson # mit @ havas @ H4BChelsea @ H4BCatapulthttps://apple.news/AoRMnVZB8SdSGNWl2icC-AQ …,,@ @ @ @ @ @ @,# # # # # #,9.88031E+17,https://twitter.com/WebMax49/status/988030773897973760,,,,,,
CancerRX,4/22/2018 8:06,1,0,A Robot Does the Impossible: Assembling an Ikea Chair Without Having a Meltdown - WIRED @ WIRED @ Apple # Robotics # AACR18 @ IKEAUSA # ikea # robot # IBMWatson # mit @ havas @ H4BChelsea @ H4BCatapult https://apple.news/AoRMnVZB8SdSGNWl2icC-AQ …,,@ @ @ @ @ @,# # # # # #,9.88026E+17,https://twitter.com/CancerRX/status/988026222096666624,,,,,,
physiciansnews,4/22/2018 7:53,2,1,Today's trending # health & medical news for # doctors and patients. https://paper.li/physiciansnews/1397181229?edition_id=cfeaee80-4623-11e8-b5f9-0cc47a0d15fd … # aacr18 # epilepsy,,,# # # #,9.88023E+17,https://twitter.com/physiciansnews/status/988023063093669888,,,,,,
eatswengineers,4/22/2018 7:42,0,4,Adventures from # AACR18: Talking engineering in cancer research with # donuts from @ FirecakesDonuts # EatswithEngineers : https://www.instagram.com/p/Bh3vXtyjVYw/ pic.twitter.com/ZzXhXIBwZm,,@,# # #,9.8802E+17,https://twitter.com/eatswengineers/status/988020304357285888,,,,,,
reikucycle,4/22/2018 7:28,0,6,一緒に走ってくれたみんなありがとう！！ # AACR # AACR2018 pic.twitter.com/VtD1BSTLDP,,,# #,9.88017E+17,https://twitter.com/reikucycle/status/988016693774467072,,,,,,
Fetalgroup,4/22/2018 6:54,1,0,The latest The Fetalgroup Daily! https://paper.li/Fetalgroup/1308999236?edition_id=791d3a20-461b-11e8-8d16-0cc47a0d1605 … Thanks to @ HectorQuirogap # aacr18 # harvardhealth,,@,# #,9.88008E+17,https://twitter.com/Fetalgroup/status/988008041793679360,,,,,,
scion33901034,4/22/2018 6:36,0,1,木崎湖エイドに限らずもてなしに満ちた大変良い自転車イベントでスタッフさんや近所の方々へ感謝に堪えません。 これは木崎湖エイド(帰り)のギョウジャニンニクの味噌汁と草大福、信州名物おやき。 どれも美味！ # AACR2018 pic.twitter.com/nyX6798wRR,,,#,9.88004E+17,https://twitter.com/scion33901034/status/988003590538067968,,,,,,
jamya_mia,4/22/2018 6:35,13,17,本日は桜のAACRに参加された方お疲れ様でした♪󾭠 来月、緑のAACRが開催されますね！ 冷たい100%ジュースと、無料提供の麦茶を用意しようと思います󾭠 次回はサイクルラックも準備する予定ですので、次回もよろしくお願いしますm(*_ _)m # 北ヤマト園 # 木崎湖 # AACR # 桜のAACR # AACR2018,,,# # # # #,9.88003E+17,https://twitter.com/jamya_mia/status/988003373633830912,,,,,,
itmofnw,4/22/2018 6:03,7,29,今日、山の中で突然赤い悪魔が出てきた時はびっくりしたなあ。応援してくれてありがとう。たぶん青木湖のあたり。 # AACR # AACR2018 # 桜のAACR # 青木湖 # 悪魔おじさん # jspocyclepic.twitter.com/9DwEaY9fIZ,,,# # # # # #,9.87995E+17,https://twitter.com/itmofnw/status/987995414598115328,,,,,,
ahmad72321,4/22/2018 5:19,0,2,تستاهل كل خير ونفتخر بكم نسأل الله لك العلم النافع والعمل الصالح وترجع لنابالسلامة,,,,9.87984E+17,https://twitter.com/ahmad72321/status/987984291123646466,,,,,,
sabutora318,4/22/2018 5:15,0,4,来年も参加したいと思えるイベントだった。 エイドも美味しいし何より地元の人たちがあったかい( ；∀；) チャリダーメンバーとも一緒に写真撮れたので満足！忙しい中ありがとうございましたι(｀･-･´)/ # AACR18 # 桜のAACRpic.twitter.com/6DJom3hQJd,,,# #,9.87983E+17,https://twitter.com/sabutora318/status/987983328287453186,,,,,,
banetsu180,4/22/2018 4:19,0,64,無事完走。 # AACR2018 # 桜のアルプスあづみのセンチュリーライドpic.twitter.com/Cf4qCzxIua,,,# #,9.87969E+17,https://twitter.com/banetsu180/status/987969091959848961,,,,,,
yanndere_yukimi,4/22/2018 4:15,0,0,たまごん @ AACR……がんばった……。私と…休憩……。,,@,,9.87968E+17,https://twitter.com/yanndere_yukimi/status/987968134857482240,,,,,,
ton6969be,4/22/2018 3:38,0,2,"帰りのタイムも去年より一時間以上タイム短縮したよヾ(๑╹◡╹)ﾉ75キロ4時間50分くらいかな？まあ去年は壊れまくってMAVICカーの世話になったりだったけど今回はトラブル無く脚が終わって押したけどかなり満足です(*≧∀≦*) # AACR2018 # AACR2dayspic.twitter.com/EVXaTrSKCh""",,,# #,9.87959E+17,https://twitter.com/ton6969be/status/987958780032761856,,,,,,
chiyan2742,4/22/2018 3:33,0,11,瀕死状態ながら無事完走 # AACR2018 pic.twitter.com/qFAcBlVo9c,,,#,9.87957E+17,https://twitter.com/chiyan2742/status/987957487914565632,,,,,,
itmofnw,4/22/2018 3:04,0,1,ちなみに # チャリダー 撮影隊はスタート前コメント撮ってるところ以外は坂バカ俳優をチラッと見かけたくらいだな…自分はほぼ映ってないはず（笑） # AACR2018 # AACR # 桜のAACR # BS1,,,# # # # #,9.8795E+17,https://twitter.com/itmofnw/status/987950225246441472,,,,,,
NakajimaKazNary,4/22/2018 2:46,0,4,完走したよ…疲れたパトラッシュ # AACR # AACR2018 pic.twitter.com/7iSe8gXkN0 – bei 梓水苑,,,# #,9.87946E+17,https://twitter.com/NakajimaKazNary/status/987945686694940674,,,,,,
itmofnw,4/22/2018 2:40,0,1,4時起きで168km走って3000kcal以上消費してるのに、朝より体重増えとる（笑）そりゃコーラやプロテイン飲んだりたい焼き食べたりしたけどさ… そして今日のライドの消費カロリーと今日着けてたゼッケンの番号が下一桁2しか違わない。惜しい（笑） # AACR # AACR2018 # 桜のAACR # 安曇野,,,# # # #,9.87944E+17,https://twitter.com/itmofnw/status/987944145061740545,,,,,,
HashimAljohani,4/22/2018 2:26,9,20,فخور بمشاركتي وتمثيل فريقنا البحثي في المؤتمر السنوي للجمعية الأمريكيه لأبحاث السرطان. اكثر من ٢٢٠٠٠ زائر ومشارك في هذا المؤتمر من جميع أنحاء العالم. # AACR # AACR18 @ uofcincy @ CincyChildrens @ OhioState @ taibahupic.twitter.com/pOdg2YQIwN,,@ @ @ @,# #,9.87941E+17,https://twitter.com/HashimAljohani/status/987940701601083393,,,,,,
sadobomarzo,4/22/2018 2:25,0,12,なんとか今年も桜のアルプスあづみのセンチュリーライド150km、完走できました。 走行タイムは1時間以上縮まり、それはよかったのですが、積車の仕方が悪くて、シフトワイヤーを壊したり、疲れた状態で無理に参加して、太腿痙攣、腰激痛など、反省の多いイベントでもありました。。 # AACR2018 pic.twitter.com/EzZVedazUv,,,#,9.8794E+17,https://twitter.com/sadobomarzo/status/987940392770273280,,,,,,
MathanSivapar,4/22/2018 2:21,0,1,Intracellular redox status determines self-renewal activity of breast cancer stem-like cells through activation of Nrf2-mediated FoxO3a-Bmi-1 signaling - http://www.abstractsonline.com/pp8/#!/4562/presentation/4544 … # cancerstemcells # AACR18,,,# # #,9.87939E+17,https://twitter.com/MathanSivapar/status/987939448552816640,,,,,,
banetsu180,4/22/2018 2:05,0,19,最終エイド。 # AACR2018 # 桜のアルプスあづみのセンチュリーライドpic.twitter.com/Q7cuVjeQrr,,,# #,9.87935E+17,https://twitter.com/banetsu180/status/987935305142493184,,,,,,
TargetedOnc,4/22/2018 2:00,2,0,"Check out Crizotinib Reaches 100% Disease Control Rate in ALK+ Inflammatory Myofibroblastic Tumors"" by clicking here: http://ht.ly/PxI230jA1hY Presented at @ AACR's Annual Meeting # AACR18 pic.twitter.com/mpdLOGFZJs""",,@,#,9.87934E+17,https://twitter.com/TargetedOnc/status/987934075200655360,,,,,,
schneiderleonid,4/22/2018 1:58,0,3,@ GaetanBurgio at least some good news for @ salkinstitute recently: Tony Hunter won an @ AACR award! https://forbetterscience.com/2018/04/13/salk-gandalf-tony-hunter-get-aacr-prize-for-magic-western-blots/ …,,@ @ @,,9.87934E+17,https://twitter.com/schneiderleonid/status/987933698715725824,,,,,,
itmofnw,4/22/2018 1:54,0,2,完走おめでタイ焼きとお水もらった。さて、風呂行こう…まだ8km走らんと（笑） # AACR2018 # 桜のAACR # 安曇野pic.twitter.com/DQn9jPsbAY,,,# # #,9.87933E+17,https://twitter.com/itmofnw/status/987932553955885056,,,,,,
minagi_skak,4/22/2018 1:37,0,0,1430 ゴール！ 150km無事に完走 後半やっぱり暑かった～ # aacr # aacr2018 pic.twitter.com/C60miJvqYc,,,# #,9.87928E+17,https://twitter.com/minagi_skak/status/987928417885601792,,,,,,
itmofnw,4/22/2018 1:03,0,4,フィニッシュ。前半向かい風の上りで飛ばしすぎて60kmくらいで脚攣りかけたときはどうしようかと思ったけど、事なきを得て良かったなあ。ちょっと暑かったけど最高の天気で気持ちいいライドだったな。 # AACR2018 # 桜のAACRpic.twitter.com/DCtaPCA7yL,,,# #,9.8792E+17,https://twitter.com/itmofnw/status/987919865339002880,,,,,,
TargetedOnc,4/22/2018 1:00,1,1,WATCH what this expert from @ MDAndersonNews told us at # AACR18 about BLU-667: http://ht.ly/jSQ030jA1e1 # CancerResearch,,@,# #,9.87919E+17,https://twitter.com/TargetedOnc/status/987918962171277313,,,,,,
EIPGeu,4/22/2018 0:58,1,1,EIPG Pharma Weekly Roundup is out! https://paper.li/EIPGeu/1403883135?edition_id=a4d21ca0-45c4-11e8-8d16-0cc47a0d1605 … # pharma # pharmaceutical # aacr # aacr18,,,# # # #,9.87919E+17,https://twitter.com/EIPGeu/status/987918604321554432,,,,,,
itmofnw,4/22/2018 0:40,0,0,まもなくフィニッシュ。 # AACR2018 # 桜のAACRpic.twitter.com/20vHf8nxof,,,# #,9.87914E+17,https://twitter.com/itmofnw/status/987913971385577474,,,,,,
minagi_skak,4/22/2018 0:18,0,0,1317 第6エイド 安曇野 132km リンゴジュースとしそゼリー 暑い！ 下り基調の高速巡航区間は終わり。これからまた少し登って最後まであと20km # aacr # aacr2018 pic.twitter.com/HTx00UJ4RI,,,# #,9.87909E+17,https://twitter.com/minagi_skak/status/987908593855873026,,,,,,
gottisttot1107,4/22/2018 0:18,0,1,サイクルトレインってこんな風に積むんだなぁ。面白い。宙吊り # AACR2018 # サイクルトレインpic.twitter.com/5uuR6QanRP,,,# #,9.87908E+17,https://twitter.com/gottisttot1107/status/987908473613467648,,,,,,
taizou528,4/22/2018 0:17,0,3,そしてゴール # AACR2018 pic.twitter.com/Rh6BJPAXJL,,,#,9.87908E+17,https://twitter.com/taizou528/status/987908235318280192,,,,,,
itmofnw,4/22/2018 0:00,0,1,たまにはコーラ飲んだっていいよね…いいよね… # AACR2018 # 桜のAACR # まあまあ暑いpic.twitter.com/MPj5nkjzTI,,,# # #,9.87904E+17,https://twitter.com/itmofnw/status/987903934197940225,,,,,,
TargetedOnc,4/22/2018 0:00,0,1,What do you think about the use of BLU-667 in patients with RET-altered advanced solid tumors? Read more on this here: http://ht.ly/7ZhT30jA13Y from # AACR18 # CancerResearchpic.twitter.com/f7Q13b6koo,,,# #,9.87904E+17,https://twitter.com/TargetedOnc/status/987903864727920641,,,,,,
itmofnw,4/21/2018 23:55,0,1,最後のエイドステーションでリンゴジュースとゼリー。そこまで暑くないけど、ホースで水浴日サービスやってる（笑） # AACR2018 # 桜のAACR # 安曇野pic.twitter.com/QySxm0akQX,,,# # #,9.87903E+17,https://twitter.com/itmofnw/status/987902799722627072,,,,,,
itmofnw,4/21/2018 23:31,1,4,春うらら。 # AACR2018 # 桜のAACR # 中綱湖 # 桜pic.twitter.com/EGEfKH6yGR,,,# # # #,9.87897E+17,https://twitter.com/itmofnw/status/987896691960438785,,,,,,
MarkuzDezell,4/21/2018 23:30,0,0,Sniff her rose bud with your lips Please pull out my battleship lotion goes in the basket Did you see my tennis racket Let’s all go on a long DMT trip # AntiquesRoadshow # PutYourSticksOut # humboldtstong # GC2018Netball # AACR18 # omg # AviciiFM # 1DDrive # WhenThereIsNoChanceOf,,,# # # # # # # # #,9.87896E+17,https://twitter.com/MarkuzDezell/status/987896305891532800,,,,,,
minagi_skak,4/21/2018 23:17,0,0,1215 第5エイド 大町木崎湖 107km 山菜汁 おやきもあるけど、さっき食べたばかりなのでスルー さて、ここからは穂高まで下りだ！ # aacr2018 # aacrpic.twitter.com/UmStHrCiq5,,,# #,9.87893E+17,https://twitter.com/minagi_skak/status/987893064961331200,,,,,,
TargetedOnc,4/21/2018 23:00,3,11,"Adjuvant pembrolizumab reduced the risk of recurrence or death by 43% in patients with resected, high-risk stage III # Melanoma, presented at the # AACR18. If you missed these results, you can still see them here: http://ht.ly/cXS630jA0Yc pic.twitter.com/MthgIBlrKR",,,# #,9.87889E+17,https://twitter.com/TargetedOnc/status/987888769792663553,,,,,,
jamya_mia,4/21/2018 22:59,27,44,自転車のお客様がちょこちょこ寄って下さってます♪ 無料で麦茶も用意してあります(っ´ω`c)󾭠 緑のAACRもプチエイドやるので良かったら寄って下さいね♪ # 北ヤマト園 # 木崎湖 # AACR # 桜のAACR # AACR2018 pic.twitter.com/3FZpxpTv8L,,,# # # # #,9.87889E+17,https://twitter.com/jamya_mia/status/987888551835521024,,,,,,
banetsu180,4/21/2018 22:59,0,21,白馬エイド。 # AACR2018 # 桜のアルプスあづみのセンチュリーライドpic.twitter.com/71JvZa56WN,,,# #,9.87889E+17,https://twitter.com/banetsu180/status/987888540418633728,,,,,,
minagi_skak,4/21/2018 22:55,0,0,1150 第4.5エイド 縁川商店 ウメソーダとおやき 残念ながらリンゴはまだはやいので、小豆 # aacr # aacr2018 # 木崎湖pic.twitter.com/vitFUax4eD,,,# # #,9.87888E+17,https://twitter.com/minagi_skak/status/987887580023668736,,,,,,
itmofnw,4/21/2018 22:32,0,0,よく考えたら食い過ぎな気がする…復路は追い風でらくちんだし、 ライド終わり太ってるんじゃないか… # AACR2018 # 桜のAACRpic.twitter.com/N6C6zSPEKt,,,# #,9.87882E+17,https://twitter.com/itmofnw/status/987881839778922497,,,,,,
sadobomarzo,4/21/2018 22:29,0,6,シフトの調子が悪いと思ったら、リアシフトのワイヤーのカバーが割れて中が出てきてしまっていた。太腿も攣りはじめたし、今回はヤバい。でもあと50km頑張る。 # AACR2018 pic.twitter.com/TfX3mpjNUi,,,#,9.87881E+17,https://twitter.com/sadobomarzo/status/987880986628182016,,,,,,
sadobomarzo,4/21/2018 22:25,0,2,いきなりライトのジョイントが割れるトラブル。ビニールテープがあってよかった。。。knogのジョイントがクソだな。もうこれで壊れたの2個目。 # AACR2018 # 桜のAACR # knogpic.twitter.com/MTGBDBnOHc,,,# # #,9.8788E+17,https://twitter.com/sadobomarzo/status/987880117606039552,,,,,,
itmofnw,4/21/2018 22:24,0,0,おやきと草餅2個め。てかまだ午前中かいな。 # AACR2018 # 桜のAACR # 木崎湖 # おやき # 草餅pic.twitter.com/UFYJbR26q0,,,# # # # #,9.8788E+17,https://twitter.com/itmofnw/status/987879789267578880,,,,,,
TargetedOnc,4/21/2018 22:00,1,2,"Neoadjuvant treatment with nivolumab demonstrated a 45% major pathologic response rate in patients with resectable stage I to III non–small cell # LungCancer, according to these results: http://ht.ly/3vOv30jA0Q6 Presented at # AACR18. pic.twitter.com/QHFZgEKY1B",,,# #,9.87874E+17,https://twitter.com/TargetedOnc/status/987873677265068032,,,,,,
itmofnw,4/21/2018 21:57,0,8,絶景かな絶景かな # AACR2018 # 桜のAACRpic.twitter.com/qsJs9qFIyI,,,# #,9.87873E+17,https://twitter.com/itmofnw/status/987873089621934080,,,,,,
itmofnw,4/21/2018 21:55,0,6,満開。 # AACR2018 # 桜のAACR # 桜 # 白馬pic.twitter.com/yggbLFeEr6,,,# # # #,9.87873E+17,https://twitter.com/itmofnw/status/987872520685600768,,,,,,
minagi_skak,4/21/2018 21:32,0,0,1025 第4エイド 白馬岩岳 80km そばと漬け物と松田聖子 大きな登りはないけど、地味な登りが思ったより堪える # aacr # aacr2018 pic.twitter.com/ZDr33YgiKf,,,# #,9.87867E+17,https://twitter.com/minagi_skak/status/987866823168114689,,,,,,
barrybunin,4/21/2018 21:30,0,0,"Turning cold tumors hot, Checkmate Pharma outlines its initial success story at # AACR18 - https://endpts.com/turning-cold-tumors-hot-checkmate-pharma-outlines-its-initial-success-story-at-aacr18/ …",,,#,9.87866E+17,https://twitter.com/barrybunin/status/987866274976882688,,,,,,
reversecancer,4/21/2018 21:15,1,2,"This is Patsy Ng presenting our work on the largest study of breast cancer research in South East Asian women at the 109th annual meeting for the @ AACR. There were over 22,000 attendees who congregated in Chicago over our mutual passion in # ReversingCancer.pic.twitter.com/yUWRkEZSiy",,@,#,9.87862E+17,https://twitter.com/reversecancer/status/987862332347830272,,,,,,
itmofnw,4/21/2018 21:09,0,4,眼福桜山。 # AACR2018 # 桜のAACR # 白馬pic.twitter.com/r0pChW8yBF,,,# # #,9.87861E+17,https://twitter.com/itmofnw/status/987860913456742400,,,,,,
TargetedOnc,4/21/2018 21:00,1,0,An expert discussed the phase III results from the EORTC 1325-MG/KEYNOTE-054 trial presented at @ AACR's Annual Meeting in a private interview with us here: http://ht.ly/wqJz30jA0Iv Watch it now! # CancerResearch # ClinicalTrial,,@,# #,9.87859E+17,https://twitter.com/TargetedOnc/status/987858585236508684,,,,,,
