username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,
disclifechannel,4/25/2015 23:00,12,9,,@,# #,5.92161E+17,https://twitter.com/disclifechannel/status/592161338262159361,,,
SBAmin,4/25/2015 21:35,1,0,,@,,5.9214E+17,https://twitter.com/SBAmin/status/592139948087582720,,,
SBAmin,4/25/2015 21:33,3,0,,@,,5.92139E+17,https://twitter.com/SBAmin/status/592139497460015104,,,
SBAmin,4/25/2015 21:28,0,0,,@,,5.92138E+17,https://twitter.com/SBAmin/status/592138097409699840,,,
CochranLab,4/25/2015 20:03,0,0,,@ @ @,#,5.92117E+17,https://twitter.com/CochranLab/status/592116701950410752,,,
HemOncToday,4/25/2015 20:00,3,2,,,#,5.92116E+17,https://twitter.com/HemOncToday/status/592115884153405440,,,
HemOncToday,4/25/2015 18:00,0,0,,,# # #,5.92086E+17,https://twitter.com/HemOncToday/status/592085684078268417,,,
IonisDisrupts,4/25/2015 17:38,1,1,,,# #,5.9208E+17,https://twitter.com/IonisDisrupts/status/592080191922409472,,,
IonisDisrupts,4/25/2015 16:49,0,1,,,#,5.92068E+17,https://twitter.com/IonisDisrupts/status/592067905291882496,,,
AACRFoundation,4/25/2015 16:35,0,1,,,#,5.92064E+17,https://twitter.com/AACRFoundation/status/592064305220034560,,,
MayoCancerCare,4/25/2015 15:50,0,0,,,# #,5.92053E+17,https://twitter.com/MayoCancerCare/status/592052977013288962,,,
ShepardDale,4/25/2015 15:44,0,0,,,# # #,5.92052E+17,https://twitter.com/ShepardDale/status/592051643354591232,,,
HemOncToday,4/25/2015 15:00,1,0,,,# #,5.9204E+17,https://twitter.com/HemOncToday/status/592040390108184576,,,
QIAGENBiox,4/25/2015 14:53,0,0,,,# #,5.92039E+17,https://twitter.com/QIAGENBiox/status/592038616316125185,,,
practiceupdate,4/25/2015 14:00,0,0,,,# # #,5.92026E+17,https://twitter.com/practiceupdate/status/592025516082864128,,,
HemOncToday,4/25/2015 14:00,1,1,,,# #,5.92025E+17,https://twitter.com/HemOncToday/status/592025313665634305,,,
PiescheLab,4/25/2015 13:31,0,0,,@,# # # # #,5.92018E+17,https://twitter.com/PiescheLab/status/592018185722920960,,,
DrugTargetRev,4/25/2015 13:10,0,0,,,# #,5.92013E+17,https://twitter.com/DrugTargetRev/status/592012698176593920,,,
PiescheLab,4/25/2015 13:06,1,0,,,# # # #,5.92012E+17,https://twitter.com/PiescheLab/status/592011794153091072,,,
HemOncToday,4/25/2015 13:00,5,5,,,# # # #,5.9201E+17,https://twitter.com/HemOncToday/status/592010194814537731,,,
BOSBIZJess,4/25/2015 12:50,0,0,,@,,5.92008E+17,https://twitter.com/BOSBIZJess/status/592007781793796096,,,
jessmayb3,4/25/2015 12:50,0,0,,@,,5.92008E+17,https://twitter.com/jessmayb3/status/592007720535990272,,,
MayoCancerCare,4/25/2015 12:35,0,0,,,# # #,5.92004E+17,https://twitter.com/MayoCancerCare/status/592003905413881856,,,
ReagencyChem,4/25/2015 12:22,0,0,,,#,5.92001E+17,https://twitter.com/ReagencyChem/status/592000852866572288,,,
HemOncToday,4/25/2015 12:00,0,1,,@,# #,5.91995E+17,https://twitter.com/HemOncToday/status/591995109585002496,,,
Sugiura_Koharu,4/25/2015 11:31,0,0,,@ @,,5.91988E+17,https://twitter.com/Sugiura_Koharu/status/591987813387608064,,,
HemOncToday,4/25/2015 11:00,1,2,,,# #,5.9198E+17,https://twitter.com/HemOncToday/status/591979986896072704,,,
crownbioscience,4/25/2015 10:51,0,3,,@,# # #,5.91978E+17,https://twitter.com/crownbioscience/status/591977726027890688,,,
cancerassassin1,4/25/2015 10:50,0,0,,,# # #,5.91978E+17,https://twitter.com/cancerassassin1/status/591977706478129152,,,
BOSBIZJess,4/25/2015 9:50,1,0,,@,,5.91962E+17,https://twitter.com/BOSBIZJess/status/591962468022407168,,,
jessmayb3,4/25/2015 9:50,0,0,,@,,5.91962E+17,https://twitter.com/jessmayb3/status/591962418613460992,,,
RLobb,4/25/2015 9:34,0,0,,@,#,5.91958E+17,https://twitter.com/RLobb/status/591958386272378880,,,
RLobb,4/25/2015 9:27,0,0,,,# #,5.91957E+17,https://twitter.com/RLobb/status/591956702913634304,,,
medpagetoday,4/25/2015 9:00,1,0,,,#,5.9195E+17,https://twitter.com/medpagetoday/status/591949787987124224,,,
tjmartell,4/25/2015 8:55,0,0,,@,# # #,5.91949E+17,https://twitter.com/tjmartell/status/591948619122638848,,,
IntensityInc,4/25/2015 7:21,0,0,,,#,5.91925E+17,https://twitter.com/IntensityInc/status/591925066834653184,,,
biopathology,4/25/2015 3:43,0,0,,@ @ @,,5.9187E+17,https://twitter.com/biopathology/status/591870069002661889,,,
SocMedRes,4/25/2015 2:58,0,0,,@ @,#,5.91859E+17,https://twitter.com/SocMedRes/status/591858896047841280,,,
40andoverandfa1,4/25/2015 0:19,0,0,,,# # #,5.91819E+17,https://twitter.com/40andoverandfa1/status/591818860757671936,,,
OncLive,4/24/2015 22:25,0,1,,,#,5.9179E+17,https://twitter.com/OncLive/status/591790025655848960,,,
SiliconBio,4/24/2015 21:10,0,1,,,# #,5.91771E+17,https://twitter.com/SiliconBio/status/591771106324914176,,,
QIAGENBiox,4/24/2015 20:30,0,0,,,# # # #,5.91761E+17,https://twitter.com/QIAGENBiox/status/591761084484362240,,,
ALakomaMD,4/24/2015 20:13,0,2,,@,#,5.91757E+17,https://twitter.com/ALakomaMD/status/591756890087956481,,,
ScienCell,4/24/2015 19:55,0,0,,,#,5.91752E+17,https://twitter.com/ScienCell/status/591752478770626560,,,
FullMoonBio,4/24/2015 19:12,0,0,,,#,5.91742E+17,https://twitter.com/FullMoonBio/status/591741610141978624,,,
AppliedBio,4/24/2015 19:01,1,1,,,#,5.91739E+17,https://twitter.com/AppliedBio/status/591738687437733889,,,
Biorbyt,4/24/2015 18:52,0,0,,@,,5.91737E+17,https://twitter.com/Biorbyt/status/591736573453946880,,,
StBaldricks,4/24/2015 18:00,1,4,,@,# #,5.91723E+17,https://twitter.com/StBaldricks/status/591723371659800576,,,
humanimmunenews,4/24/2015 17:40,1,0,,,# #,5.91718E+17,https://twitter.com/humanimmunenews/status/591718303736934400,,,
BOSBIZJess,4/24/2015 17:05,0,1,,@,,5.9171E+17,https://twitter.com/BOSBIZJess/status/591709552476848128,,,
jessmayb3,4/24/2015 17:05,0,0,,@,,5.91709E+17,https://twitter.com/jessmayb3/status/591709497313329154,,,
MyelomaTeacher,4/24/2015 16:42,0,0,,@ @,# # # #,5.91704E+17,https://twitter.com/MyelomaTeacher/status/591703836965916672,,,
DrugTargetRev,4/24/2015 16:38,0,0,,,# # #,5.91703E+17,https://twitter.com/DrugTargetRev/status/591702805779509248,,,
theNCI,4/24/2015 16:15,5,5,,,#,5.91697E+17,https://twitter.com/theNCI/status/591696886249168897,,,
MedscapeOnc,4/24/2015 16:14,2,0,,,#,5.91697E+17,https://twitter.com/MedscapeOnc/status/591696860865171456,,,
theNCI,4/24/2015 16:10,12,10,,,#,5.91696E+17,https://twitter.com/theNCI/status/591695816269668352,,,
AACR,4/24/2015 16:05,3,2,,,#,5.91694E+17,https://twitter.com/AACR/status/591694368794353665,,,
MyelomaTeacher,4/24/2015 16:00,0,1,,@,# # # #,5.91693E+17,https://twitter.com/MyelomaTeacher/status/591693283128127489,,,
AACR,4/24/2015 15:57,0,2,,@ @,#,5.91693E+17,https://twitter.com/AACR/status/591692550852870144,,,
MayoCancerCare,4/24/2015 15:50,1,1,,,# # #,5.91691E+17,https://twitter.com/MayoCancerCare/status/591690587541217280,,,
PhRMA,4/24/2015 14:55,4,0,,,# #,5.91677E+17,https://twitter.com/PhRMA/status/591676751941672960,,,
TNBCFoundation,4/24/2015 14:51,2,0,,,#,5.91676E+17,https://twitter.com/TNBCFoundation/status/591675878024818689,,,
AACRFoundation,4/24/2015 14:45,0,0,,@,# # # # #,5.91674E+17,https://twitter.com/AACRFoundation/status/591674284826759168,,,
AACRFoundation,4/24/2015 14:40,0,0,,@,# #,5.91673E+17,https://twitter.com/AACRFoundation/status/591673004901306368,,,
SaurabhSahaMD,4/24/2015 14:37,0,0,,@ @ @,# # #,5.91672E+17,https://twitter.com/SaurabhSahaMD/status/591672449005199360,,,
AACR,4/24/2015 14:35,1,1,,,# # #,5.91672E+17,https://twitter.com/AACR/status/591671718361595904,,,
AlpineBV_Miller,4/24/2015 13:50,0,2,,,#,5.9166E+17,https://twitter.com/AlpineBV_Miller/status/591660483402452993,,,
nbferrara,4/24/2015 13:45,1,1,,,# #,5.91659E+17,https://twitter.com/nbferrara/status/591659282065715200,,,
AACR,4/24/2015 13:35,5,2,,,#,5.91657E+17,https://twitter.com/AACR/status/591656616648388608,,,
nbferrara,4/24/2015 13:31,0,0,,,# # #,5.91656E+17,https://twitter.com/nbferrara/status/591655658438668288,,,
nbferrara,4/24/2015 13:15,2,0,,,# # #,5.91652E+17,https://twitter.com/nbferrara/status/591651733467701250,,,
MaverickNY,4/24/2015 13:14,3,0,,,#,5.91651E+17,https://twitter.com/MaverickNY/status/591651375358029825,,,
nbferrara,4/24/2015 13:03,0,0,,,# #,5.91649E+17,https://twitter.com/nbferrara/status/591648564327096321,,,
BioCentury,4/24/2015 13:01,1,0,,,# # # # #,5.91648E+17,https://twitter.com/BioCentury/status/591648252828725248,,,
nbferrara,4/24/2015 12:45,1,0,,,# #,5.91644E+17,https://twitter.com/nbferrara/status/591644223356674048,,,
MayoCancerCare,4/24/2015 12:35,3,0,,,# #,5.91642E+17,https://twitter.com/MayoCancerCare/status/591641512317952000,,,
nbferrara,4/24/2015 12:31,1,1,,,# #,5.91641E+17,https://twitter.com/nbferrara/status/591640596697210881,,,
GuardantHealth,4/24/2015 12:20,0,0,,@,#,5.91638E+17,https://twitter.com/GuardantHealth/status/591637874627350530,,,
nbferrara,4/24/2015 12:15,0,0,,,# #,5.91637E+17,https://twitter.com/nbferrara/status/591636676717518848,,,
nbferrara,4/24/2015 12:02,0,0,,,# #,5.91633E+17,https://twitter.com/nbferrara/status/591633436504420353,,,
MaverickNY,4/24/2015 11:42,1,4,,,# #,5.91628E+17,https://twitter.com/MaverickNY/status/591628263178575873,,,
MaverixBiomics,4/24/2015 11:41,0,0,,,# #,5.91628E+17,https://twitter.com/MaverixBiomics/status/591628049264812032,,,
jthomaskent,4/24/2015 11:30,0,0,,@ @,,5.91625E+17,https://twitter.com/jthomaskent/status/591625185628921857,,,
CancerNetwrk,4/24/2015 11:14,0,1,,@ @,# # # #,5.91621E+17,https://twitter.com/CancerNetwrk/status/591621277636497410,,,
Rndubois,4/24/2015 10:51,7,8,,,#,5.91615E+17,https://twitter.com/Rndubois/status/591615400372109312,,,
DrMisialek,4/24/2015 10:45,7,1,,@ @,#,5.91614E+17,https://twitter.com/DrMisialek/status/591613982240329729,,,
AACR,4/24/2015 10:45,9,10,,,#,5.91614E+17,https://twitter.com/AACR/status/591613850757238784,,,
AlexWestchester,4/24/2015 10:32,0,0,,@,# #,5.91611E+17,https://twitter.com/AlexWestchester/status/591610642752282624,,,
PhRMA,4/24/2015 10:22,4,1,,,# #,5.91608E+17,https://twitter.com/PhRMA/status/591608041432346626,,,
CancerNetwrk,4/24/2015 9:53,0,1,,@,# # # # # #,5.91601E+17,https://twitter.com/CancerNetwrk/status/591600906925383680,,,
Starpharma_ASX,4/24/2015 9:42,3,1,,@ @,#,5.91598E+17,https://twitter.com/Starpharma_ASX/status/591598119332155393,,,
bhgross144,4/24/2015 9:20,0,0,,@,#,5.91593E+17,https://twitter.com/bhgross144/status/591592524617273344,,,
WHYYThePulse,4/24/2015 9:19,0,1,,@ @,,5.91592E+17,https://twitter.com/WHYYThePulse/status/591592394790932480,,,
bhgross144,4/24/2015 9:17,0,0,,@last @,#,5.91592E+17,https://twitter.com/bhgross144/status/591591710746107904,,,
bhgross144,4/24/2015 9:16,1,0,,@ @ @,#,5.91592E+17,https://twitter.com/bhgross144/status/591591642106306560,,,
IAmMelGraham,4/24/2015 9:10,1,0,,@,# #,5.9159E+17,https://twitter.com/IAmMelGraham/status/591589949239074816,,,
BentheFidler,4/24/2015 8:59,3,3,,,#,5.91587E+17,https://twitter.com/BentheFidler/status/591587336091238400,,,
RLobb,4/24/2015 8:49,0,1,,,# # # #,5.91585E+17,https://twitter.com/RLobb/status/591584646552518657,,,
RLobb,4/24/2015 8:45,0,0,,,# # # #,5.91584E+17,https://twitter.com/RLobb/status/591583771998216192,,,
DrugTargetRev,4/24/2015 8:37,0,0,,,# #,5.91582E+17,https://twitter.com/DrugTargetRev/status/591581786288828417,,,
corrie_painter,4/24/2015 8:21,0,0,,@,#,5.91578E+17,https://twitter.com/corrie_painter/status/591577611089879040,,,
Expedeon1,4/24/2015 7:50,0,0,,,# #,5.9157E+17,https://twitter.com/Expedeon1/status/591569781016363008,,,
LPMissy1202,4/24/2015 7:29,0,2,,@ @ @ @ @ @ @ @ @ @,#,5.91565E+17,https://twitter.com/LPMissy1202/status/591564731753832448,,,
AACRFoundation,4/24/2015 7:25,2,1,,,# # #,5.91564E+17,https://twitter.com/AACRFoundation/status/591563509936197632,,,
pulmonary_news,4/24/2015 7:20,0,0,,@,,5.91562E+17,https://twitter.com/pulmonary_news/status/591562273489084416,,,
alvinwtng,4/24/2015 6:52,1,2,,@,# #,5.91555E+17,https://twitter.com/alvinwtng/status/591555210830417922,,,
Diaceutics,4/24/2015 6:45,0,0,,@ @,#,5.91554E+17,https://twitter.com/Diaceutics/status/591553539010383872,,,
fsgepi,4/24/2015 5:33,0,0,,@,# #,5.91535E+17,https://twitter.com/fsgepi/status/591535426827063297,,,
BIGagainstBC,4/24/2015 3:52,0,0,,,# # #,5.9151E+17,https://twitter.com/BIGagainstBC/status/591509958614585344,,,
PiescheLab,4/24/2015 2:30,1,0,,,# # # # # #,5.91489E+17,https://twitter.com/PiescheLab/status/591489397003923456,,,
jay_obey,4/24/2015 1:36,0,0,,@ @AACarnival2015,# #,5.91476E+17,https://twitter.com/jay_obey/status/591475764547039233,,,
ARMI_Labs,4/24/2015 1:18,0,1,,,# #,5.91471E+17,https://twitter.com/ARMI_Labs/status/591471368316669952,,,
PiescheLab,4/24/2015 1:05,1,0,,,# # # #,5.91468E+17,https://twitter.com/PiescheLab/status/591468094255595520,,,
humanimmunenews,4/24/2015 0:35,2,0,,,# #,5.9146E+17,https://twitter.com/humanimmunenews/status/591460331651665920,,,
myCME,4/23/2015 21:55,0,0,,,# #,5.9142E+17,https://twitter.com/myCME/status/591420060482297856,,,
cancerassassin1,4/23/2015 21:08,0,1,,,# #,5.91408E+17,https://twitter.com/cancerassassin1/status/591408351696814081,,,
danielmehnert,4/23/2015 20:23,0,0,,,#,5.91397E+17,https://twitter.com/danielmehnert/status/591397112757096449,,,
danielmehnert,4/23/2015 20:21,0,0,,,#,5.91397E+17,https://twitter.com/danielmehnert/status/591396537391001601,,,
danielmehnert,4/23/2015 20:19,0,0,,,#,5.91396E+17,https://twitter.com/danielmehnert/status/591396031264378881,,,
d2merino,4/23/2015 20:16,0,0,,@ @,# # # #,5.91395E+17,https://twitter.com/d2merino/status/591395260363837440,,,
ADCReview,4/23/2015 19:58,1,2,,@ @ @ @ @,#,5.91391E+17,https://twitter.com/ADCReview/status/591390686429122560,,,
MyelomaTeacher,4/23/2015 19:34,0,2,,@,# # # # #,5.91385E+17,https://twitter.com/MyelomaTeacher/status/591384771995049984,,,
Visabl_dot_com,4/23/2015 19:00,0,1,,,# # #,5.91376E+17,https://twitter.com/Visabl_dot_com/status/591376173092876289,,,
FightCRC,4/23/2015 18:03,0,2,,,#,5.91362E+17,https://twitter.com/FightCRC/status/591361882830860288,,,
DaleYuzuki,4/23/2015 17:50,2,1,,@,#,5.91358E+17,https://twitter.com/DaleYuzuki/status/591358452406030336,,,
LauraHollister,4/23/2015 17:46,1,1,,,#,5.91357E+17,https://twitter.com/LauraHollister/status/591357393621123072,,,
ExactSciences,4/23/2015 17:44,2,0,,@,,5.91357E+17,https://twitter.com/ExactSciences/status/591357008617541633,,,
oncologytube,4/23/2015 17:38,0,0,,@,,5.91355E+17,https://twitter.com/oncologytube/status/591355383442079744,,,
libbyshope,4/23/2015 17:34,0,0,,,#,5.91354E+17,https://twitter.com/libbyshope/status/591354458866470913,,,
ASCOPost,4/23/2015 17:25,2,4,,,# #,5.91352E+17,https://twitter.com/ASCOPost/status/591352186329817090,,,
aftimosp,4/23/2015 17:09,0,0,,,# # # # #,5.91348E+17,https://twitter.com/aftimosp/status/591348123844349952,,,
IntensityInc,4/23/2015 16:58,0,0,,,# # # #,5.91345E+17,https://twitter.com/IntensityInc/status/591345309457997824,,,
TargetedOnc,4/23/2015 16:55,0,0,,,#,5.91345E+17,https://twitter.com/TargetedOnc/status/591344571969310720,,,
AACRFoundation,4/23/2015 16:52,1,3,,@ @,# #,5.91344E+17,https://twitter.com/AACRFoundation/status/591343788343238658,,,
AACR,4/23/2015 16:42,10,23,,@,# #,5.91341E+17,https://twitter.com/AACR/status/591341387414659072,,,
Groz_P,4/23/2015 16:41,0,0,,@ @,,5.91341E+17,https://twitter.com/Groz_P/status/591341174222417920,,,
MaverickNY,4/23/2015 16:36,0,2,,,#,5.9134E+17,https://twitter.com/MaverickNY/status/591339785479913472,,,
gumedcenter,4/23/2015 16:18,5,1,,@ @ @ @,# #,5.91335E+17,https://twitter.com/gumedcenter/status/591335301764743168,,,
PiescheLab,4/23/2015 16:17,0,0,,,# # # # #,5.91335E+17,https://twitter.com/PiescheLab/status/591335059908624384,,,
AACR,4/23/2015 16:15,7,3,,@,#,5.91335E+17,https://twitter.com/AACR/status/591334519015366657,,,
PiescheLab,4/23/2015 16:14,1,0,,,# # # # #,5.91334E+17,https://twitter.com/PiescheLab/status/591334304690606080,,,
JExpMed,4/23/2015 16:10,0,1,,,# # # # #,5.91333E+17,https://twitter.com/JExpMed/status/591333258136199168,,,
BioCentury,4/23/2015 16:01,0,1,,,# # # # #,5.91331E+17,https://twitter.com/BioCentury/status/591331049889665025,,,
PhRMA,4/23/2015 15:56,3,5,,,# #,5.9133E+17,https://twitter.com/PhRMA/status/591329713974448129,,,
PharmaReview,4/23/2015 15:40,1,0,,,# # #,5.91326E+17,https://twitter.com/PharmaReview/status/591325915876970498,,,
LoyolaHealth,4/23/2015 15:40,1,0,,@ @,#,5.91326E+17,https://twitter.com/LoyolaHealth/status/591325797882859521,,,
vesriram,4/23/2015 15:33,0,0,,,#,5.91324E+17,https://twitter.com/vesriram/status/591323925470191616,,,
practiceupdate,4/23/2015 15:30,0,0,,,# #,5.91323E+17,https://twitter.com/practiceupdate/status/591323339651735552,,,
vesriram,4/23/2015 15:29,0,0,,,#,5.91323E+17,https://twitter.com/vesriram/status/591323020855246848,,,
vesriram,4/23/2015 15:28,1,0,,,#,5.91323E+17,https://twitter.com/vesriram/status/591322681578037249,,,
WillisCD,4/23/2015 15:10,0,0,,,# #sthash,5.91318E+17,https://twitter.com/WillisCD/status/591318355191189505,,,
HealthAdvances,4/23/2015 15:02,1,0,,,#,5.91316E+17,https://twitter.com/HealthAdvances/status/591316208101765123,,,
lcfamerica,4/23/2015 14:49,1,1,,,# # #,5.91313E+17,https://twitter.com/lcfamerica/status/591313081504047105,,,
ITHS_UW,4/23/2015 14:40,0,0,,@,#,5.91311E+17,https://twitter.com/ITHS_UW/status/591310716403113984,,,
JExpMed,4/23/2015 14:35,0,0,,,# # # # # #,5.91309E+17,https://twitter.com/JExpMed/status/591309342571425794,,,
TheScientistLLC,4/23/2015 14:30,1,1,,,#,5.91308E+17,https://twitter.com/TheScientistLLC/status/591308120120397824,,,
benitezja,4/23/2015 14:30,0,0,,@ @,# #,5.91308E+17,https://twitter.com/benitezja/status/591308118996443136,,,
AACR,4/23/2015 14:30,4,2,,,#,5.91308E+17,https://twitter.com/AACR/status/591308118279249923,,,
BayerUS,4/23/2015 14:26,0,0,,@,#,5.91307E+17,https://twitter.com/BayerUS/status/591307250813300736,,,
GuardantHealth,4/23/2015 14:26,0,0," Show First Evidence of Impact on Docs Decisions"": http://bit.ly/1yXDNaQ # AACR15""",,@,#,5.91307E+17,https://twitter.com/GuardantHealth/status/591307081220751361,,
AACR,4/23/2015 14:25,3,5,,,#,5.91307E+17,https://twitter.com/AACR/status/591306813280223232,,,
ASCOPost,4/23/2015 14:24,8,2,,,# #,5.91307E+17,https://twitter.com/ASCOPost/status/591306556148420609,,,
MSKCC_Library,4/23/2015 14:20,0,0,,@,# # #,5.91306E+17,https://twitter.com/MSKCC_Library/status/591305638996799488,,,
PhRMA,4/23/2015 14:16,1,0,,,# # # #,5.91305E+17,https://twitter.com/PhRMA/status/591304553661857793,,,
DNABARCODE,4/23/2015 14:13,9,4,,@ @,#,5.91304E+17,https://twitter.com/DNABARCODE/status/591303951930232835,,,
AACR,4/23/2015 14:05,0,1,,,#,5.91302E+17,https://twitter.com/AACR/status/591301777775075328,,,
nbferrara,4/23/2015 14:01,0,0,,,# #,5.91301E+17,https://twitter.com/nbferrara/status/591300999664558080,,,
BayerPharma,4/23/2015 14:00,1,2,,@ @,# #,5.91301E+17,https://twitter.com/BayerPharma/status/591300549586395136,,,
BioInfo,4/23/2015 13:55,0,0,,,#,5.91299E+17,https://twitter.com/BioInfo/status/591299257203892225,,,
nbferrara,4/23/2015 13:45,0,0,,,# #,5.91297E+17,https://twitter.com/nbferrara/status/591296924998889472,,,
3NT,4/23/2015 13:34,0,0,,@,#,5.91294E+17,https://twitter.com/3NT/status/591294197778554881,,,
nbferrara,4/23/2015 13:31,0,0,,,# #,5.91293E+17,https://twitter.com/nbferrara/status/591293274163433473,,,
Abcodia,4/23/2015 13:21,0,0,,@ @,,5.91291E+17,https://twitter.com/Abcodia/status/591290879454883840,,,
Health4Law,4/23/2015 13:19,0,1,,,#,5.9129E+17,https://twitter.com/Health4Law/status/591290370840985600,,,
nbferrara,4/23/2015 13:15,1,0,,,# #,5.91289E+17,https://twitter.com/nbferrara/status/591289350136160257,,,
nbferrara,4/23/2015 13:02,1,0,,,# #,5.91286E+17,https://twitter.com/nbferrara/status/591285926959153153,,,
MolecularMatch,4/23/2015 12:51,0,0,,,# # #,5.91283E+17,https://twitter.com/MolecularMatch/status/591283189177540609,,,
nbferrara,4/23/2015 12:45,1,0,,,# #,5.91282E+17,https://twitter.com/nbferrara/status/591281855908970496,,,
caitlin_hool,4/23/2015 12:35,0,1,,@tvnewsmelissa @ @,,5.91279E+17,https://twitter.com/caitlin_hool/status/591279164159852546,,,
nbferrara,4/23/2015 12:31,0,0,,,# #,5.91278E+17,https://twitter.com/nbferrara/status/591278128447758338,,,
CancerNetwrk,4/23/2015 12:20,0,0,,@,# #,5.91276E+17,https://twitter.com/CancerNetwrk/status/591275514679189504,,,
DaleYuzuki,4/23/2015 12:18,0,0,,@,#,5.91275E+17,https://twitter.com/DaleYuzuki/status/591274978278035456,,,
nbferrara,4/23/2015 12:15,0,0,,,# #,5.91274E+17,https://twitter.com/nbferrara/status/591274305461346305,,,
cancerassassin1,4/23/2015 12:13,0,1,,@ @,# #,5.91274E+17,https://twitter.com/cancerassassin1/status/591273801528123393,,,
DrugTargetRev,4/23/2015 12:06,0,0,,,# # #,5.91272E+17,https://twitter.com/DrugTargetRev/status/591272029359366144,,,
PKILifeScience,4/23/2015 12:03,0,0,,,# #,5.91271E+17,https://twitter.com/PKILifeScience/status/591271109611417600,,,
nbferrara,4/23/2015 12:02,0,0,,,# #,5.91271E+17,https://twitter.com/nbferrara/status/591270946620760066,,,
